acc x,acc y,acc z
0.17555237,9.117493,-2.8974304
0.30358887,9.11525,-2.8420868
0.48065186,9.116852,-2.883957
0.5636444,9.003372,-2.8827362
0.54852295,8.850052,-2.9217682
0.45565796,8.71347,-3.0370483
0.31211853,8.732742,-3.21846
0.12495422,8.853363,-3.3295135
-0.060424805,9.049957,-3.2698212
-0.26585388,9.067459,-3.4501343
-0.42373657,8.995468,-3.3806152
-0.57077026,8.902084,-3.368637
-0.62379456,8.922745,-3.3526306
-0.6979523,9.016541,-3.2921295
-0.6759186,9.163834,-3.2193298
-0.6488037,9.354584,-3.0884857
-0.61312866,9.450851,-3.075348
-0.5530853,9.491409,-2.973755
-0.41819763,9.51297,-2.8388062
-0.16400146,9.522049,-2.655014
-0.03413391,9.461517,-2.5262299
0.19477844,9.478989,-2.4249268
0.358963,9.445557,-2.3795319
0.4707489,9.419373,-2.3372803
0.32899475,9.356598,-2.2419739
0.16880798,9.301376,-2.229721
-0.069122314,9.249786,-2.4250183
-0.2683258,9.257355,-2.5669708
-0.34977722,9.184769,-2.534378
-0.6262665,9.061508,-2.5919037
-0.85884094,9.019363,-2.8223572
-1.0007019,9.073212,-2.9905548
-1.1297302,9.234421,-3.1319122
-1.196228,9.316284,-3.1822357
-1.1014404,9.340439,-3.044815
-1.0597534,9.192398,-2.9675293
-1.0253143,9.056503,-2.8206177
-0.83239746,9.012772,-2.7790985
-0.6249695,8.991928,-2.765564
-0.43133545,9.0186,-2.7479706
-0.24327087,9.069565,-2.6788025
-0.15238953,9.041916,-2.768753
-0.083236694,9.064957,-2.7872772
-0.06741333,9.112198,-2.7217102
-0.08621216,9.173126,-2.719696
-0.17089844,9.216522,-2.6622467
-0.26231384,9.27153,-2.633606
-0.31324768,9.279266,-2.6134186
-0.364151,9.243179,-2.6057434
-0.40104675,9.229874,-2.603714
-0.41844177,9.188263,-2.5579224
-0.36680603,9.212769,-2.5687408
-0.3066101,9.184174,-2.602951
-0.27140808,9.138168,-2.6010895
-0.2693329,9.130234,-2.5534515
-0.2759552,9.139282,-2.5380554
-0.2129364,9.08905,-2.4999237
-0.15011597,9.003601,-2.4874878
-0.25976563,8.992828,-2.6241913
-0.6039429,8.901581,-2.8848877
-0.67607117,8.863129,-3.0511475
-0.46426392,8.904709,-3.0523071
-0.25971985,8.94754,-3.0968628
0.0064086914,9.040421,-3.1446228
0.17866516,9.145493,-2.9973297
0.11036682,9.081848,-2.8932037
-0.018203735,8.93335,-2.91893
-0.17550659,8.786575,-2.998001
-0.3080902,8.7030945,-3.093399
-0.4499054,8.703201,-3.1726837
-0.5656738,8.753235,-3.3285675
-0.6349182,8.940048,-3.5291443
-0.7201538,9.096664,-3.7379913
-0.8540802,9.1532135,-3.8966064
-0.9844971,9.241943,-4.0108185
-1.0035706,9.353806,-4.1372986
-0.9790802,9.497635,-4.222458
-0.88912964,9.685211,-4.244766
-0.7606354,9.9136505,-4.1072083
-0.74884033,10.069611,-3.8953857
-0.7804413,10.134888,-3.6700745
-0.68530273,10.184387,-3.3153687
-0.6063843,10.15538,-2.868744
-0.74043274,10.0781555,-2.4852905
-0.90859985,9.999741,-2.5175934
-0.94633484,10.08873,-2.7447815
-0.91796875,10.312241,-2.7688751
-0.96051025,10.513535,-2.526947
-1.2067413,10.709305,-2.1958466
-1.506073,11.228165,-2.1109924
-1.5766754,11.998505,-2.525116
-1.507721,12.381271,-3.5809326
-1.5706329,12.077454,-4.5181885
-1.2457733,11.453598,-4.4811707
