frame,acc x,acc y,acc z
651,0.114961,10.873389,-1.288521
652,0.150886,11.05541,-1.156794
653,0.055085,11.206296,-1.010698
654,0.0479,11.292517,-0.850232
655,0.069456,11.460168,-0.651445
656,0.016765,11.615845,-0.529299
657,0.021555,11.812236,-0.383203
658,0.045505,11.850557,0.031135
659,0.320933,11.773916,0.165256
660,0.457449,11.529624,0.347278
661,0.593965,11.273357,0.524509
662,0.57241,10.947634,0.447869
663,0.335303,10.552456,0.296982
664,0.069456,10.334509,0.098196
665,-0.229922,10.154883,-0.102986
666,-0.435894,9.989626,-0.148491
667,-0.692161,9.738149,-0.182021
668,-0.670605,9.86748,-0.189207
669,-0.383203,10.126143,-0.126936
670,-0.102986,10.178833,-0.069456
671,-0.021555,10.286609,-0.05748
672,-0.112566,10.224338,-0.093406
673,-0.172441,10.135723,-0.153281
674,-0.306563,9.915381,-0.265847
675,-0.404758,9.740544,-0.282612
676,-0.421523,9.75252,-0.457449
677,-0.392783,9.668694,-0.371228
678,-0.318538,9.436377,-0.399968
679,-0.129331,9.299861,-0.268242
680,0.007185,9.25196,-0.045505
681,0.119751,9.24717,0.138911
682,0.234712,9.244775,0.366438
683,0.404758,9.295071,0.502954
684,0.502954,9.319021,0.59157
685,0.62031,9.311836,0.713716
686,0.603545,9.311836,0.857417
687,0.555645,9.354946,0.977168
688,0.524509,9.501042,1.161584
689,0.524509,9.601633,1.391506
690,0.455054,9.599238,1.458567
691,0.416733,9.639954,1.657354
692,0.289797,9.575288,1.815425
693,0.129331,9.489067,1.971101
694,-0.02395,9.431587,2.098037
695,-0.02874,9.436377,2.148333
696,-0.016765,9.345366,2.277664
697,-0.112566,9.330996,2.416575
698,-0.016765,9.321416,2.44292
699,-0.062271,9.390872,2.577041
700,-0.02395,9.424402,2.684817
701,-0.040715,9.477092,2.751877
702,-0.064666,9.587263,2.857258
703,0.059875,9.79084,2.727927
704,0.165256,10.080637,2.821333
705,0.349673,10.197993,2.979404
706,0.63947,9.915381,2.864443
707,0.514929,9.139395,2.608176
708,-0.031135,8.468789,2.335144
709,-0.66342,8.308323,2.325564
710,-0.866997,8.614885,2.720742
711,-0.941243,8.808882,3.03928
712,-0.855022,8.971743,3.329077
713,-0.723296,9.072334,3.434458
714,-0.584385,9.230405,3.551814
715,-0.421523,9.556128,3.781736
716,-0.404758,9.630374,3.705095
717,-0.395178,9.393267,3.614084
718,-0.407153,9.386082,3.436853
719,-0.416733,9.539363,3.578159
720,-0.416733,9.75731,3.65001
721,-0.285007,9.718989,3.714675
722,-0.055085,9.630374,3.690725
723,0.143701,9.489067,3.458408
724,0.287402,9.25675,3.194956
725,0.265847,9.17532,2.785408
726,0.198787,9.041199,2.4525
727,0.055085,8.959768,2.277664
728,0.040715,8.919053,2.201023
729,0.102986,8.940608,2.186653
730,0.174836,8.897498,2.287244
731,0.107776,8.818462,2.284849
732,-0.105381,8.57896,2.46687
733,-0.421523,8.353828,2.600991
734,-0.814307,8.547825,3.03449
735,-1.384321,10.102192,4.028423
736,-1.492097,13.443245,4.883445
737,-0.969983,17.042959,5.307363
738,-1.027463,18.9949,4.8571
739,-1.338816,18.760188,4.835544
740,-1.738784,15.615527,5.206772
741,-2.143542,11.747571,4.701423
742,-2.739902,8.986113,3.666775
743,-3.06802,7.561077,1.717229
744,-2.787803,6.152805,-1.578318
745,-2.076482,4.608018,-3.858376
746,-0.886157,4.030818,-4.28469
747,1.23104,4.816384,-3.64043
748,3.666775,7.211404,-2.265688
749,5.503755,10.451865,-1.523232
750,5.882168,12.662468,-1.398691
751,5.108577,13.397739,-1.314866
752,4.639153,12.456497,-1.099314
753,4.054768,10.676997,-0.974773
754,2.694397,9.17053,-1.089734
755,1.322051,8.547825,-0.960403
756,0.651445,8.614885,-0.622705
757,0.56762,8.974138,-0.308958
758,0.543669,9.338181,-0.239502
759,0.510139,9.402847,-0.57241
760,0.574805,9.489067,-0.55325
761,0.677791,9.742939,-0.617915
762,0.696951,9.86269,-0.696951
763,0.56283,9.812395,-0.811912
764,0.479004,9.604028,-0.948428
765,0.730481,9.369316,-1.142424
766,1.252595,9.278306,-1.398691
767,1.743574,9.1849,-1.8274
768,2.342329,9.182505,-2.124382
769,2.895579,9.307046,-2.265688
770,3.295547,9.436377,-2.493215
771,3.858376,9.934541,-2.521956
772,3.863167,10.066267,-2.536326
773,3.525469,10.039922,-2.361489
774,3.135081,9.855505,-2.193838
775,2.773433,9.505833,-2.148333
776,2.612966,9.400452,-2.033372
777,2.560276,9.539363,-1.712439
778,2.699187,9.905801,-1.561553
779,2.883604,10.063872,-1.413062
780,2.852468,10.322534,-1.595083
781,2.670447,10.224338,-1.714834
782,2.315984,10.226733,-1.858535
783,1.774709,10.150093,-1.963916
784,1.23104,10.013577,-2.004631
785,0.905317,9.881851,-1.88967
786,0.675396,9.83395,-1.810635
787,0.61073,9.83874,-1.686094
788,0.826282,9.798025,-1.695674
789,1.233435,9.901011,-1.947151
790,1.791475,9.747729,-2.181863
791,2.215393,9.881851,-2.533931
792,2.356699,9.893826,-2.730322
793,2.306404,9.77168,-2.778223
794,2.131567,9.618398,-2.957849
795,1.901646,9.412427,-3.09197
796,1.650168,9.354946,-3.314707
797,1.429827,9.402847,-3.439248
798,1.199905,9.541758,-3.551814
799,1.26936,9.668694,-3.525469
800,1.571133,9.587263,-3.776946
801,1.599873,9.290281,-3.942202
802,1.590293,9.14179,-4.253555
803,1.674119,9.532178,-4.25595
804,1.595083,10.044712,-3.764971
805,1.434617,10.492581,-3.333867
806,1.26936,10.777588,-3.149451
807,1.156794,10.906919,-2.804568
808,1.041833,10.897339,-2.215393
809,0.965193,11.141631,-1.698069
810,0.977168,11.395503,-1.243015
811,1.087339,11.450588,-0.766406
812,1.17835,11.476934,-0.402363
813,1.434617,11.527229,-0.196392
814,2.054927,11.369158,-0.081431
815,3.257227,12.353511,-0.368833
816,4.87626,13.972544,-0.790356
817,5.894143,14.168936,-0.934058
818,6.248606,14.291082,-1.003513
819,5.853428,14.010864,-0.543669
820,4.883445,13.574971,0.589175
821,3.475173,13.814473,1.518442
822,1.635798,13.663586,1.985471
823,-0.471819,12.190649,1.384321
824,-1.82261,10.823093,0.107776
825,-1.820215,10.025552,-0.522114
826,-0.835862,10.207573,-0.766406
827,-0.076641,10.526111,-1.604663
828,0.874182,11.869717,-2.957849
829,1.346001,13.179792,-4.85231
830,1.80824,14.71979,-6.959927
831,2.342329,15.567627,-8.619675
832,2.682422,15.088623,-8.099956
833,2.569856,13.761782,-7.139553
834,2.292034,12.372671,-5.896538
835,1.944756,11.215876,-4.950505
836,1.456172,10.380015,-4.057163
837,1.142424,9.82916,-3.307522
838,1.096919,9.422007,-3.05365
839,1.496887,9.20885,-3.460803
840,2.284849,9.077124,-4.186494
841,2.905159,8.463999,-4.739744
842,3.446433,8.157437,-5.089417
843,3.470383,7.846084,-4.996011
844,3.137476,7.482041,-4.540957
845,2.301614,7.33355,-3.633245
846,1.20709,7.32397,-2.600991
847,0.05269,7.484436,-1.360371
848,-1.065784,7.668853,-0.299377
849,-1.638193,7.99697,0.354463
850,-1.88009,8.241262,0.780776
851,-1.724414,8.353828,0.637075
852,-1.398691,8.377778,0.170046
853,-0.998723,8.344248,-0.227527
854,-0.467029,8.305928,-0.541274
855,0.172441,8.291558,-0.60594
856,0.771196,8.099956,-0.419128
857,1.137634,7.798184,-0.275427
858,1.214275,7.462881,-0.064666
859,1.044229,7.161108,-0.105381
860,0.792751,6.928792,-0.196392
861,0.6251,6.885681,-0.280217
862,0.59157,6.916816,-0.289797
863,0.622705,6.912026,-0.359253
864,0.790356,7.072493,-0.234712
865,1.104104,7.505991,0.222737
866,1.539998,8.308323,1.072969
867,2.014211,9.422007,2.045347
868,2.143542,10.399175,2.919529
869,1.829795,10.938054,3.69312
870,1.513652,11.09373,4.038003
871,1.266965,10.957214,4.234395
872,1.037043,10.914104,4.093088
873,0.474214,11.110496,4.093088
874,-0.191602,11.486514,4.543352
875,-0.775986,12.011023,5.276228
876,-1.23583,12.207415,5.829478
877,-1.472937,12.29124,6.219866
878,-1.554368,12.183464,6.018684
879,-1.456172,11.840977,5.585186
880,-1.27894,11.361973,4.916975
881,-1.20709,10.672207,4.208049
882,-1.640588,11.249407,3.204536
883,-1.17835,14.597644,3.824846
884,-0.191602,18.214124,3.357817
885,0.886157,19.619401,2.50519
886,2.706372,19.619401,4.821174
887,5.027146,19.619401,9.77647
888,4.715793,12.770244,3.901487
889,3.851191,4.560117,-3.700305
890,0.910107,0.349673,-7.563472
891,-3.285967,-2.969824,-9.683064
892,-6.318062,-6.650969,-10.229128
893,-4.296665,-5.012776,-6.981482
894,0.874182,1.647773,-3.1255
895,5.843848,10.183623,-0.938848
896,10.650652,18.099163,-3.781736
897,11.333232,19.619401,-7.33355
898,8.600515,19.095491,-6.119275
899,5.707332,12.717554,-3.079995
900,2.596201,7.462881,-2.289639
901,0.364043,5.077441,-1.7795
902,-0.589175,5.151687,-1.26457
903,-0.754431,6.054609,-0.598755
904,-0.198787,7.33834,-0.153281
905,0.423918,9.211245,-0.208367
906,0.943638,10.894944,-0.459844
907,1.199905,11.723621,-0.622705
908,0.835862,11.5895,-0.469424
909,0.193997,10.863809,-0.143701
910,-0.222737,9.750125,0.02395
911,0.031135,8.954978,-0.083826
912,0.62989,8.463999,-0.490979
913,1.487307,8.361013,-1.041833
914,2.40939,8.380173,-1.662144
915,3.369792,8.519084,-2.488425
916,4.081113,9.050779,-3.211721
917,4.682263,9.539363,-3.412903
918,4.87147,9.984836,-3.309917
919,4.742139,10.190808,-3.118315
920,4.229604,10.162068,-2.938689
921,3.784131,9.939331,-2.727927
922,3.314707,9.661509,-2.411785
923,2.871628,9.532178,-2.217788
924,2.294429,9.386082,-1.973496
925,1.712439,9.438772,-1.877695
926,1.175955,9.544153,-2.030977
927,0.673,9.517808,-2.153123
928,0.390388,9.477092,-2.392625
929,0.241897,9.448352,-2.780618
930,0.251477,9.687854,-2.984194
931,0.273032,10.008787,-2.905159
932,0.253872,10.451865,-2.766248
933,0.342488,10.739268,-2.577041
934,0.632285,11.03146,-2.383044
935,1.084944,11.206296,-2.026187
936,1.79866,11.06978,-1.410667
937,2.430945,10.727292,-1.27415
938,2.871628,10.626702,-1.401086
939,2.960244,11.124866,-1.724414
940,3.046465,11.929592,-1.887275
941,2.730322,11.898457,-1.762734
942,2.363884,11.61824,-1.791475
943,2.136357,11.282937,-1.712439
944,1.872905,11.249407,-1.403481
945,1.657354,11.464958,-0.790356
946,2.009421,11.512859,-0.380808
