acc x,acc y,acc z
-2.100357,9.321426,-0.138809
-2.167603,9.331696,0.04071
-2.218689,9.33786,0.218597
-2.243546,9.363998,0.346359
-2.232056,9.372848,0.539871
-2.230545,9.418945,0.618988
-2.233276,9.518051,0.701431
-2.244202,9.578506,0.807236
-2.246811,9.636856,0.876251
-2.221909,9.674225,0.891098
-2.189346,9.731094,0.871094
-2.182037,9.77684,0.889633
-2.203415,9.825745,0.84906
-2.194794,9.865891,0.77182
-2.135284,9.865479,0.784729
-2.087723,9.84613,0.873535
-2.117996,9.845428,0.952789
-2.205154,9.841904,1.087875
-2.346237,9.810196,1.296661
-2.544876,9.755112,1.563843
-2.830597,9.748993,1.8703
-3.025909,9.865936,2.210709
-3.069687,10.071457,2.426666
-2.902267,10.369995,2.227173
-2.417023,10.759048,1.617233
-1.645035,11.101486,0.854507
-0.897613,11.11467,0.354675
-0.111938,10.692459,0.464249
0.514023,9.935196,1.297089
0.892731,9.035233,2.23024
0.990555,8.245514,2.821289
0.755814,7.743652,3.134827
0.35083,7.566711,3.383423
-0.117172,7.698029,3.586319
-0.502258,8.069611,3.821396
-0.8013,8.552048,3.937439
-1.037842,9.045837,3.700439
-1.211868,9.348709,3.226288
-1.282394,9.466644,2.757172
-1.336853,9.392532,2.536514
-1.389786,9.138092,2.525421
-1.419403,8.756668,2.662155
-1.476715,8.396881,2.961746
-1.50415,8.104752,3.279068
-1.511093,7.872528,3.627914
-1.531464,7.726044,3.877075
-1.479309,7.583145,4.119598
-1.449646,7.468887,4.259064
-1.430298,7.39949,4.269959
-1.374954,7.372025,4.28775
-1.333176,7.399643,4.347473
-1.26825,7.418823,4.395783
-1.180588,7.418686,4.447922
-1.057114,7.39006,4.551849
-0.964539,7.301361,4.648254
-0.849716,7.139252,4.793076
-0.759155,6.903992,4.966263
-0.670731,6.598084,5.347977
-0.680634,6.210785,5.935852
-0.681381,5.801147,6.720078
-0.551529,5.468201,7.342255
-0.216522,5.474213,7.756927
0.1427,5.831986,7.753006
0.407654,6.351379,7.350174
0.393188,6.925766,6.695648
0.101044,7.433609,5.975464
-0.483887,7.905609,5.11055
-1.247726,8.558899,4.180878
-2.456284,9.69928,3.380783
-4.096115,11.616455,2.879608
-6.070267,14.502548,2.754761
-7.651855,17.73819,3.913132
-6.914276,18.411331,5.120956
-5.331146,14.75177,4.873703
-3.08606,9.57959,2.587646
-0.196091,5.597824,0.632614
2.20137,2.62027,-0.372101
3.949142,0.321854,0.042419
4.207794,-0.442978,1.388428
2.908112,0.785583,1.97171
0.67746,3.48616,1.908981
-2.168823,7.121857,2.314331
-4.95639,11.331985,2.456024
-7.150803,15.03302,1.382568
-8.015701,17.37468,-1.386276
-6.214096,16.518188,-3.279053
-4.39119,13.615906,-2.677185
-2.892777,10.513641,-0.341278
-1.922165,7.966492,1.607773
-1.128464,5.363464,3.326431
-1.000488,4.161041,4.191803
-1.408569,4.118942,4.596191
-1.914703,5.12001,4.085724
-2.819199,6.399902,2.626205
-3.90834,7.784546,0.872711
-4.384705,9.346146,-0.735626
-4.841263,10.722672,-2.083466
-4.877228,11.592255,-2.597199
-4.372665,11.544205,-2.310974
-3.642105,10.576706,-1.553406
-2.673859,9.418594,-0.16272
-1.785416,8.393906,1.212585
-1.21347,7.704605,2.064194
-0.880158,7.57225,1.983292
-0.624512,8.03566,1.329727
-0.54921,8.767273,0.348526
-0.61615,9.528458,-0.420868
-0.935486,9.951828,-0.746216
-1.430389,10.041519,-0.581924
-1.917603,9.788803,-0.120728
-2.464508,9.265121,0.571884
-3.262741,8.580933,1.076294
-3.889069,7.970703,1.054626
-4.456665,7.548996,0.44458
-4.764694,7.654327,-0.208435
-4.876633,8.242294,-1.08934
-4.868485,8.911148,-1.805008
-4.875671,9.344437,-2.042282
-4.897751,9.539612,-1.662552
-4.847107,9.732651,-1.019058
-4.666351,10.08963,-0.23674
-4.597916,10.471802,0.431198
-4.494293,10.733093,0.864441
-4.084534,10.95932,0.833237
-3.493042,11.208588,0.348923
-3.326736,11.738708,-0.512115
-4.265579,13.002762,-1.623215
-5.09848,14.379837,-2.678436
-4.213532,14.770172,-3.018677
-2.385193,13.972,-2.474518
-1.012482,12.075668,-1.882416
-0.111526,10.063766,-2.112457
0.56601,8.815491,-2.711014
0.683029,8.541183,-2.821884
-0.478638,9.482025,-2.137314
-1.734482,10.7836,-0.915115
-2.510223,11.980423,0.260681
-2.609192,12.668579,0.887131
-2.079529,12.869446,0.791901
-1.24971,12.935989,0.696808
-0.474884,12.974457,0.898376
-0.038818,12.567673,0.619568
-0.204147,11.56398,-0.450516
-0.709885,10.730026,-0.896698
-1.391373,10.014511,-0.977341
-2.506744,9.121857,-1.425476
-3.2612,8.551117,-1.996445
-3.358993,8.290909,-1.908615
-3.259201,8.17099,-1.716538
-2.959839,8.16539,-1.299835
-2.544556,8.150574,-0.59082
-1.966385,8.059769,0.321167
-1.307877,7.897537,1.275284
-0.531525,7.655014,2.143463
0.229492,7.264771,2.660172
0.645828,6.803818,2.792267
0.883789,6.25499,2.903915
1.084793,5.670868,3.050034
1.310608,5.263947,3.229614
1.497009,4.987747,3.310562
1.515533,4.8508,3.177628
1.362335,4.78392,3.005234
1.113892,4.827103,2.983032
0.760666,4.898438,3.089981
0.301819,4.872726,3.450699
-0.31192,4.851456,4.275558
-1.097839,4.972366,5.542511
-1.915848,5.43158,6.92749
-2.853516,6.237152,7.900207
-4.071335,7.18837,7.965546
-5.193985,8.014404,6.949829
-5.509949,8.498734,5.606949
-5.087036,8.883408,4.621582
-4.245346,9.241425,4.537445
-3.026459,9.466248,4.60582
-1.641815,9.576324,4.372635
-0.906357,9.602081,4.364685
-1.939011,10.921738,5.005188
-2.77565,14.294846,5.40799
-1.695435,17.878372,3.709839
0.470993,19.309692,0.838562
2.684189,18.042435,0.705826
4.454605,13.850739,2.318314
5.259705,8.554794,2.529785
3.991867,4.04248,1.612625
2.02449,0.984726,0.567184
0.513611,-0.489532,-0.207062
-1.420288,-0.502136,-0.906631
-3.312088,1.128998,-1.326065
-5.453995,4.554184,-1.056259
-8.266266,9.502472,-0.473129
-10.760193,14.962128,-0.48288
-10.610947,18.446915,-1.981338
-8.487671,17.574417,-3.358612
-6.561844,14.074585,-2.54805
-4.836441,10.288254,-0.9328
-2.946716,6.962067,0.695358
-1.533737,4.404098,2.274063
-0.304398,3.038879,3.432144
0.567429,2.969101,3.616425
0.749435,4.063568,3.060806
0.255524,6.048584,2.072662
-0.865646,8.426498,0.621567
-2.048645,10.592499,-0.911255
-2.625595,11.820785,-2.051086
-2.729919,11.92215,-2.37912
-2.553955,10.945007,-1.738403
-2.411346,9.601898,-0.535965
-2.414658,8.405106,0.466965
-2.41124,7.670609,1.004272
-2.443192,7.337021,1.145111
-2.651016,7.346817,0.918961
-2.923996,7.621048,0.379852
-3.232361,7.879334,-0.469711
-3.142471,8.077362,-1.047806
-2.963837,8.124924,-1.351105
-2.822907,8.261734,-1.398926
-2.687729,8.710587,-1.283722
-2.739914,9.081955,-1.253479
-3.200256,9.093857,-1.224976
-4.092926,9.265289,-0.970612
-4.886566,10.084869,-0.761597
-5.153946,10.957458,-0.475586
-4.958008,11.243637,0.214905
-4.851227,10.826614,0.724106
-4.793366,10.432114,0.918594
-4.579529,10.301956,0.810486
-4.287247,10.256073,0.566498
-4.055405,10.055481,-0.15448
-4.114288,10.225082,-1.136063
-5.450302,12.073654,-2.825714
-6.167282,13.915436,-4.950058
-5.141144,14.619324,-4.941589
-3.470276,14.227371,-3.720657
-2.08641,12.790436,-2.572891
-1.18042,10.810104,-2.040024
-0.470612,9.302429,-1.926712
0.372253,8.645462,-1.782776
0.464706,8.732117,-1.246201
-0.378555,9.68364,-0.554688
-1.371307,10.981461,-0.343765
-1.310486,12.292084,-0.298737
-0.802765,12.870941,-0.053589
-0.357422,12.893188,0.016785
0.00148,13.045441,0.660187
0.13118,13.217407,1.241592
0.316101,13.138016,1.246384
-0.163345,12.299286,-0.00972
-0.516144,11.270752,-1.030975
-1.344589,10.094681,-1.180817
-2.526886,9.151337,-2.052994
-3.163147,8.565979,-2.208511
-3.777328,8.010376,-2.376373
-3.930862,7.791962,-2.317856
-3.831436,7.680954,-1.935776
-3.389175,7.727112,-1.212799
-2.811935,7.716919,-0.492538
-2.040802,7.684296,0.40538
-1.209961,7.550384,1.131302
-0.357559,7.280411,1.981979
0.154816,6.892868,2.38649
0.580307,6.433853,2.820129
0.860504,5.926971,3.191544
1.139755,5.529404,3.600815
1.400879,5.220749,4.021576
1.562637,4.982788,4.001328
1.488403,4.917007,4.032044
1.310226,4.974121,3.956451
1.013168,5.018829,3.787399
0.740692,4.986938,3.776352
0.23671,4.883453,3.955673
-0.539612,4.983902,4.588364
-1.579437,5.24147,5.675537
-2.656082,5.76059,6.683105
-3.713379,6.765503,7.680725
-4.397156,8.077103,8.707367
-4.255508,9.212097,9.493607
-3.649231,9.793427,9.455811
-3.277527,9.587997,8.598007
-3.075195,9.006027,7.481674
-2.648499,8.413254,6.323486
-2.246704,8.33786,4.771057
-3.466003,10.10141,3.931854
-5.517517,14.107056,3.051102
-5.504944,18.546219,2.399277
-3.021866,19.309692,1.488373
-0.175522,18.546188,-2.242126
1.99292,14.23436,-4.455795
2.227295,7.34227,-2.469406
1.615768,2.139236,1.492935
3.066376,-1.696487,2.999649
2.747162,-2.982254,2.888138
1.295166,-2.07486,2.840469
-0.737457,0.119827,2.484314
-3.359772,3.346161,1.241547
-6.165634,8.190109,-0.18895
-8.595016,14.520538,-1.562744
-8.649521,19.309692,-3.937241
-6.224991,19.175522,-6.852951
-4.353394,17.281204,-7.094482
-3.987442,12.237457,-4.293716
-3.42514,7.794632,-1.334259
-2.542221,4.493957,1.174652
-1.866364,2.627853,3.180359
-1.419403,2.076614,4.042877
-1.139709,2.856979,3.623001
-1.226501,4.769974,2.567413
-2.018616,7.038727,0.917099
-2.50087,9.455414,-1.101807
-2.447601,11.415771,-2.782608
-2.082336,12.297302,-3.550873
-1.754761,11.96637,-3.313782
-1.726257,10.81134,-2.261627
-2.027985,9.390686,-0.831116
-2.436646,8.192642,0.399414
-2.818298,7.445343,1.071396
-3.044678,7.171997,1.159058
-3.136658,7.335007,0.863846
-3.182373,7.775589,0.299866
-3.078186,8.323257,-0.232376
-2.755753,8.771942,-0.495056
-2.394257,8.89502,-0.526413
-2.216934,8.661057,-0.36348
-2.382797,8.329391,-0.305923
-2.999756,8.184174,-0.530563
-3.983658,8.513062,-0.920883
-4.978836,9.36763,-1.28865
-5.575516,10.304459,-1.261764
-5.697845,10.840363,-0.521271
-5.506256,10.726608,0.472595
-5.177689,10.399506,1.242355
-4.772034,10.300003,1.61647
-4.296707,10.345673,1.205612
-4.114044,10.367096,-0.040604
-4.589996,10.903687,-1.593948
-5.880783,12.746201,-3.325012
-6.408539,14.471374,-4.878418
-4.807617,14.454285,-5.1185
-2.439987,13.068848,-3.519134
-0.713577,11.308533,-1.90831
0.417435,9.861145,-1.611954
1.217682,9.22998,-1.91182
0.920258,9.779266,-1.433807
-0.597794,11.226822,-0.303162
-1.805038,12.651764,0.408493
-1.72554,13.360657,0.544525
-1.170654,13.312042,0.494598
-1.145752,13.266815,0.639923
-1.116837,13.592331,1.066498
-0.452744,13.682648,0.878632
0.012024,13.032166,-0.120331
-0.177475,11.855499,-1.095749
-1.477753,10.676407,-0.212006
-2.077332,9.734879,-1.394516
