acc x,acc y,acc z
0.85165405,9.62442,-0.8243103
0.88298035,9.595993,-0.79763794
0.91197205,9.646759,-0.7546997
0.89250183,9.674164,-0.73405457
0.8976288,9.701843,-0.7014923
0.9244995,9.749405,-0.6815491
0.9437866,9.768997,-0.6287079
0.9010315,9.756363,-0.5188751
0.88912964,9.700363,-0.42733765
0.87750244,9.680176,-0.34495544
0.86958313,9.592224,-0.25532532
0.86050415,9.485077,-0.19384766
0.833725,9.362686,-0.14463806
0.8360138,9.246735,-0.10624695
0.8006134,9.128296,-0.04862976
0.7877655,9.106232,-0.012512207
0.75582886,9.20842,0.07369995
0.6632843,9.475159,0.34300232
0.5836792,9.915207,0.6398773
0.55114746,10.534317,0.93730164
0.5123596,11.281113,1.2925568
0.24143982,11.9687195,1.714798
-0.19961548,12.082718,1.9432678
-0.6963959,11.66185,1.8936768
-0.9482727,10.984634,1.679596
-0.8173828,10.399857,1.784195
-0.36891174,10.063309,2.3770294
0.1299591,9.907883,2.882965
0.6450348,9.823334,3.111267
0.97294617,9.750961,3.1870575
1.030304,9.607132,3.0575104
1.018631,9.392807,2.7878265
1.0546875,9.159821,2.670929
1.1032562,8.897934,2.6152496
1.1827698,8.677002,2.6307678
1.2593079,8.450241,2.7114563
1.3158417,8.150558,2.781723
1.2335968,7.8123474,2.8585663
1.0806274,7.512512,3.0493927
0.8848114,7.2729187,3.3670197
0.5986481,7.101639,3.5621643
0.34326172,7.0040436,3.645935
0.18528748,6.9865417,3.6761322
0.061798096,7.055008,3.5851135
-0.015396118,7.1590576,3.5314484
-0.04058838,7.2345886,3.4989471
-0.03691101,7.3174896,3.461609
-0.026321411,7.4069977,3.4570007
-0.08125305,7.4906616,3.508316
-0.14842224,7.5844574,3.618927
-0.17947388,7.7083893,3.743225
-0.17402649,7.867386,3.7135162
-0.19560242,8.048218,3.645279
-0.23449707,8.250046,3.694046
-0.2216034,8.388245,3.7444916
-0.269104,8.479797,3.8021393
-0.37190247,8.533737,3.8934631
-0.46395874,8.558395,3.8783264
-0.4863739,8.588135,3.8054047
-0.48902893,8.609772,3.7912598
-0.5209503,8.6035,3.7739105
-0.5093994,8.599075,3.7393951
-0.54599,8.577927,3.8437958
-0.6500397,8.508102,4.096344
-0.74531555,8.426178,4.4809113
-0.73687744,8.364899,4.930969
-0.54948425,8.458252,5.1728363
-0.20991516,8.680435,5.268448
0.0778656,8.968567,5.3925476
0.20431519,9.257233,5.6881714
0.32972717,9.532791,6.0868225
0.40115356,9.643997,6.2813263
0.47129822,9.515625,6.103134
0.5397949,9.228897,5.726715
0.5600281,8.889709,5.3899536
0.57917786,8.492157,5.1129456
0.43522644,8.112503,4.8765717
0.007247925,7.9535217,4.7254486
-0.62350464,8.183395,4.875778
-0.8874512,9.180084,5.328781
-0.5457001,10.7083435,5.7786255
-0.11366272,12.138138,5.6017914
-0.05847168,12.6718445,4.458008
-0.2878723,12.358917,3.2556458
-0.13142395,11.551132,2.7562408
0.40715027,10.433868,3.0326385
1.0001678,8.750229,3.4359741
1.4089813,6.8176575,3.0891266
1.1234589,5.1277313,1.8843536
0.08746338,4.301346,0.815567
-0.744339,4.758499,0.05003357
-0.8105011,6.0117035,-1.0186005
0.047439575,7.9297333,-2.3720703
1.6216736,9.990799,-3.0616913
3.3607025,11.620773,-2.886856
4.4203186,12.365936,-1.9634247
4.6971283,11.917007,-0.88822937
4.438629,10.5346985,0.08439636
4.0519867,9.136459,0.63679504
3.5937347,8.011261,0.836853
3.0260162,7.3748474,0.71403503
2.4420776,7.272751,0.38961792
1.8541718,7.7910614,-0.082351685
0.9886322,8.617935,-0.37271118
0.33711243,9.49205,-0.75115967
-0.21957397,10.097321,-0.8882141
-0.5133362,10.137772,-0.85188293
-0.69654846,9.699295,-0.6227417
-0.25463867,9.173813,-0.13114929
0.60801697,8.746155,0.189682
1.3089294,8.648239,0.30607605
2.0676727,8.740326,-0.08213806
2.576889,8.8272705,-0.6396179
2.724594,8.926773,-1.2615662
2.6184387,8.9535675,-1.4156647
2.4458618,9.066132,-1.2777863
2.277298,9.063965,-0.96591187
2.193222,9.018799,-0.5170746
2.152008,9.012955,0.0025177002
2.2161713,9.13533,0.21730042
2.3171692,9.287231,0.13531494
2.3051453,9.473282,-0.13517761
2.2745361,9.693024,-0.6305084
1.920929,9.744003,-1.0444336
1.3852234,9.677368,-1.4288025
0.8622894,9.513504,-1.5336151
0.3855896,9.281723,-1.2182312
0.1552124,9.13298,-1.1269684
0.06335449,9.2603,-0.83984375
0.08761597,9.47905,-0.9662018
0.23416138,9.5289,-1.2060547
0.69114685,9.6432495,-1.5855713
1.1095734,9.639328,-1.7891693
1.2658081,9.808289,-1.8240204
1.7486115,10.377701,-1.4861908
2.463028,10.652115,-1.635849
2.958725,10.865829,-1.7176971
3.44693,10.808334,-1.7072906
3.7151642,10.577148,-1.2382202
3.8390198,10.45546,-0.7104187
3.8233643,10.527863,-0.23059082
3.669632,10.7743225,-0.02734375
3.4986877,10.91301,0.079422
3.182129,10.878113,0.24894714
2.790863,10.796188,0.3787079
2.4970856,10.879669,0.57769775
2.3091278,11.001083,0.71417236
1.9044037,10.896896,0.6467285
1.9242401,11.701202,-0.5174103
2.6370087,13.1017,-2.725235
2.4490356,13.784058,-2.474884
1.710083,11.982925,-2.6944427
0.58229065,9.28952,-2.446579
-0.17359924,7.8418884,-2.2067108
-0.63349915,7.6061096,-2.143692
-0.94285583,8.487762,-2.0007935
-0.79756165,10.258972,-1.9198456
-0.109680176,12.511612,-2.3889008
0.76420593,14.090378,-2.9359894
1.1066437,14.328598,-3.1711884
0.8792877,13.379959,-2.990326
0.2566223,12.046265,-2.1152954
-0.41900635,10.844727,-1.0267487
-0.60310364,10.014725,-0.35990906
-0.3955841,9.673706,-0.09680176
0.10562134,9.782364,0.09829712
0.9271393,10.079224,0.22453308
1.5504761,10.317795,0.018722534
1.4965668,10.387421,-0.13391113
1.3287506,10.108231,-0.49230957
1.0206299,9.550247,-0.85409546
0.95961,8.846634,-0.70892334
1.0664978,8.201904,-0.2688141
0.99513245,7.5457,0.15364075
0.7866821,6.931961,0.4356079
0.41783142,6.462372,0.8259125
0.09767151,6.0863647,1.3199768
-0.14730835,5.8280487,1.639267
-0.48590088,5.6588135,1.8128815
-0.86473083,5.6167297,1.9306488
-1.1303558,5.637039,1.8473358
-1.207428,5.7345123,1.718277
-1.1583405,5.7754364,1.7479248
-1.1014557,5.5789337,1.8937378
-1.06987,5.203125,1.8665771
-0.99786377,4.8809967,1.9159088
-0.79670715,4.774704,2.1327362
-0.55641174,4.879135,2.3954773
-0.37387085,5.1763153,2.6452332
-0.11354065,5.7982025,3.0205078
0.34706116,6.8862457,3.455536
1.0086517,8.22821,3.890503
1.8345795,9.695923,4.1187286
2.556656,11.275925,4.155716
2.834732,12.589569,4.141815
2.566162,13.403549,3.793518
2.0347137,13.747284,3.6669312
1.5712738,13.53418,4.053833
1.4749298,12.684952,4.9246063
1.7148743,11.405258,5.940506
2.1706696,10.118515,6.5927124
2.3686523,9.092316,6.9115295
1.9744263,8.34462,6.8612213
1.1318359,7.9078217,6.427292
0.1990509,7.718567,5.636139
-0.7638092,7.818985,4.8424683
-1.9483032,8.880341,4.51828
-2.0480652,11.776688,4.995285
-0.36816406,15.36525,5.0125427
0.9159088,17.190735,3.1779327
1.1078796,16.536057,0.21357727
0.5723419,13.335068,-2.7686768
0.6651764,10.168915,-1.6948242
0.7955475,6.997177,1.2617645
0.5075226,3.9226074,1.9917145
0.048461914,1.9063721,0.38105774
0.11643982,1.7559204,-1.315445
1.0183868,3.3462067,-2.0683289
2.4750214,6.089264,-2.6225739
3.95932,9.323013,-3.343933
4.6813507,12.183304,-3.4678955
4.2736206,13.564178,-3.058258
3.2476501,12.936813,-2.1263885
2.054123,10.975891,-0.56947327
0.9129944,8.898285,0.6864319
-0.0851593,7.4883423,1.0294342
-0.49069214,6.9597626,0.7500763
-0.22489929,7.2073517,0.37545776
0.61180115,7.991043,-0.22871399
1.7872467,8.920685,-1.3008423
2.5766602,9.624695,-2.2555847
2.8547058,9.771744,-2.6935425
2.714325,9.410263,-2.4681396
2.4188232,8.965515,-1.84758
2.2350464,8.646744,-1.1880798
2.0952454,8.531967,-0.61528015
1.8188629,8.571304,-0.29197693
1.5201569,8.73201,-0.37045288
1.4851074,8.929504,-0.73731995
1.4823914,9.133835,-0.9834137
1.5367279,9.300247,-1.1700745
1.6599579,9.3450165,-1.3083038
1.6591034,9.362961,-1.0953674
1.6935883,9.299072,-0.72924805
1.8683014,9.2729645,-0.2790985
