frame,acc x,acc y,acc z
760,-0.675396,10.157278,-0.752036
761,-0.613125,10.490186,-0.682581
762,-0.538879,10.760823,-0.735271
763,-0.498164,10.861414,-0.65863
764,-0.380808,10.842253,-0.495769
765,-0.225132,10.902129,-0.182021
766,-0.067061,10.971584,0.007185
767,0.002395,10.940449,0.055085
768,-0.064666,10.882969,0.155676
769,-0.119751,10.885364,0.045505
770,-0.196392,10.791958,0.172441
771,-0.186812,10.609937,0.177231
772,-0.251477,10.461445,0.0479
773,-0.253872,10.43031,0.011975
774,-0.234712,10.291399,0.011975
775,-0.237107,10.224338,-0.124541
776,-0.289797,10.171648,-0.067061
777,-0.296982,10.063872,-0.170046
778,-0.325723,10.195598,-0.105381
779,-0.383203,10.135723,-0.328118
780,-0.498164,10.047107,-0.294587
781,-0.632285,10.099797,-0.241897
782,-0.852627,10.123748,-0.095801
783,-0.890947,10.109377,-0.026345
784,-0.790356,9.948911,-0.00479
785,-0.716111,9.898616,0.184417
786,-0.543669,9.869875,0.342488
787,-0.56283,10.008787,0.450264
788,-0.474214,10.147698,0.529299
789,-0.344883,10.358459,0.603545
790,-0.263452,10.511741,0.732876
791,-0.184417,10.509346,0.898132
792,-0.102986,10.41115,1.070574
793,-0.179626,10.370435,1.130449
794,-0.177231,10.116563,0.924478
795,-0.277822,9.865085,0.984353
796,-0.205972,9.601633,1.034648
797,-0.205972,9.577683,1.142424
798,-0.246687,9.596843,0.977168
799,-0.220342,9.644744,0.986748
800,-0.373623,9.560918,0.682581
801,-0.507744,9.556128,0.852627
802,-0.495769,9.558523,1.001118
803,-0.399968,9.747729,1.367556
804,-0.059875,10.075847,1.432222
805,0.143701,10.394385,1.592688
806,0.184417,10.538086,1.369951
807,0.055085,10.334509,1.23104
808,-0.170046,10.054292,1.317261
809,-0.323328,9.687854,1.21188
810,-0.589175,9.333391,1.286125
811,-0.696951,9.077124,1.305286
812,-0.811912,8.861572,1.27894
813,-0.756826,8.732241,1.24541
814,-0.63468,8.741821,1.22625
815,-0.409548,8.933423,1.547183
816,-0.244292,9.098679,1.542393
817,-0.222737,9.2328,1.690884
818,-0.201182,9.505833,1.501677
819,-0.213157,9.905801,1.568738
820,-0.459844,9.812395,1.530417
821,-0.694556,9.83874,1.441802
822,-0.742456,9.774075,1.417852
823,-0.64426,9.908196,1.539998
824,-0.376018,10.044712,1.487307
825,-0.102986,9.898616,1.214275
826,0.208367,9.80521,1.233435
827,0.443079,9.620793,0.684976
828,0.531694,9.182505,-0.002395
829,0.409548,8.945398,-0.455054
830,-0.205972,9.163345,-0.570015
831,-0.881367,10.166858,-0.404758
832,-0.979563,11.829001,-0.04311
833,-0.479004,13.333074,0.728086
834,0.126936,14.224021,1.796265
835,0.311353,14.410833,2.917134
836,-0.102986,13.848003,2.965034
837,-0.63468,12.221785,2.191443
838,-1.377136,9.78126,0.613125
839,-2.615361,7.505991,-0.792751
840,-3.776946,6.241421,-1.302891
841,-3.963757,6.468948,-1.010698
842,-2.555486,7.781418,-0.486189
843,-0.931663,9.026829,-0.416733
844,0.419128,10.255474,-0.632285
845,1.24541,11.110496,-0.510139
846,1.693279,11.517649,-0.182021
847,1.674119,11.397898,-0.306563
848,1.460962,10.688972,-0.64426
849,0.871787,9.568103,-0.895737
850,0.160466,8.974138,-0.783171
851,-0.299377,8.863967,-0.344883
852,-0.366438,9.393267,0.270637
853,-0.366438,9.927356,0.608335
854,-0.464634,10.329719,0.684976
855,-0.376018,10.559641,0.795146
856,-0.237107,10.542876,0.59636
857,-0.138911,10.370435,0.368833
858,-0.100591,10.209968,0.210762
859,0.117356,10.097402,0.031135
860,0.450264,10.006392,-0.208367
861,0.821492,10.020762,-0.656235
862,1.293311,9.982441,-1.065784
863,1.504072,9.929751,-1.23104
864,1.312471,9.963281,-1.458567
865,0.910107,9.910591,-1.317261
866,0.677791,9.637559,-1.16877
867,0.397573,9.548943,-1.219065
868,0.182021,9.584868,-0.981958
869,0.03353,9.745334,-0.740061
870,-0.110171,9.81,-0.859812
871,-0.074246,9.956096,-0.946033
872,0.045505,10.020762,-0.831072
873,0.081431,10.159673,-0.816702
874,0.114961,10.207573,-0.792751
875,0.064666,10.248289,-0.785566
876,0.055085,10.238708,-0.574805
877,0.088616,10.245894,-0.670605
878,0.114961,10.080637,-0.883762
879,0.301772,9.929751,-0.974773
880,0.505349,9.77168,-1.23583
881,0.541274,9.726174,-1.537603
882,0.431104,10.056687,-1.748364
883,0.193997,10.3872,-1.80345
884,0.026345,10.506951,-1.662144
885,0.064666,10.358459,-1.518442
886,0.02395,10.085427,-1.480122
887,0.031135,9.912986,-1.437012
888,0.182021,10.059082,-1.298101
889,0.162861,10.305769,-1.408271
890,-0.031135,10.514136,-1.470542
891,-0.285007,10.44468,-1.499282
892,-0.385598,10.262659,-1.796265
893,-0.373623,10.214758,-2.016606
894,-0.409548,10.40157,-2.126777
895,-0.6251,10.559641,-1.961521
896,-0.838257,10.44947,-1.923201
897,-1.149609,10.159673,-1.829795
898,-1.123264,9.8579,-1.820215
899,-0.603545,9.740544,-1.647773
900,0.124541,9.884246,-1.410667
901,0.754431,10.176438,-1.520837
902,1.271755,10.36804,-1.415457
903,1.302891,10.494976,-1.022673
904,1.25499,10.741663,-0.512534
905,1.453777,11.726016,-0.016765
906,1.453777,11.726016,-0.016765
907,1.379531,13.610896,0.114961
908,1.343606,16.343613,0.320933
909,1.566343,17.447717,0.744851
910,1.16877,15.787969,1.008303
911,0.330513,13.543835,1.288521
912,-0.050295,12.123589,1.882485
913,-0.131726,11.414663,1.961521
914,-0.229922,10.832673,1.238225
915,0.03832,10.741663,0.296982
916,0.953218,11.158396,-0.886157
917,1.956731,11.769126,-2.756667
918,2.074087,12.26729,-4.514612
919,1.346001,12.552297,-5.022356
920,0.102986,12.188254,-4.414021
921,-1.092129,11.742781,-3.022515
922,-1.990261,11.273357,-1.722019
923,-2.306404,10.796748,-1.154399
924,-2.4525,10.291399,-0.730481
925,-2.189048,9.663904,-0.66821
926,-1.944756,9.20885,-0.737666
927,-1.554368,8.816067,-0.953218
928,-1.17356,8.729846,-1.19751
929,-0.62031,8.816067,-1.389111
930,-0.059875,9.012458,-1.535208
931,0.421523,9.326206,-1.420247
932,0.723296,9.455537,-1.786685
933,0.749641,9.431587,-1.901646
934,0.495769,9.254355,-1.774709
935,0.170046,8.998088,-1.760339
936,-0.174836,8.56938,-1.769919
937,-0.510139,8.157437,-1.666934
938,-0.740061,7.901169,-1.312471
939,-1.080154,7.613767,-1.16877
940,-1.161584,7.515571,-0.840652
941,-1.20709,7.546707,-0.6251
942,-1.140029,7.628137,-0.296982
943,-1.199905,7.838899,-0.100591
944,-1.252595,7.98739,-0.095801
945,-1.470542,8.313113,0.050295
946,-1.705254,8.547825,0.174836
947,-2.009421,8.792117,0.730481
948,-1.920806,9.045989,1.017883
949,-1.7795,9.127419,1.281335
950,-1.322051,9.17053,1.719624
951,-0.689766,9.19927,1.971101
952,-0.05748,9.18969,2.48603
953,0.63468,9.357341,2.953059
954,1.161584,9.644744,3.333867
955,1.271755,10.348879,3.71707
956,1.003513,11.326047,3.992498
957,0.732876,12.509187,4.243975
958,0.66342,13.234878,3.544629
959,0.59636,13.091177,2.541116
960,0.378413,11.891272,1.935176
961,0.021555,10.308164,1.755549
962,-0.517324,8.677156,1.130449
963,-0.876577,7.443721,0.869392
964,-0.898132,6.595884,0.510139
965,-1.089734,6.231841,0.364043
966,-1.525627,6.653364,-0.03353
967,-3.264412,8.689131,-0.287402
968,-3.788921,11.778706,-2.766248
969,-3.051255,15.440691,-2.086062
970,-1.302891,19.619401,1.106499
971,-1.17356,19.619401,5.187612
972,-1.19272,19.619401,4.988826
973,-0.682581,13.958174,0.752036
974,-1.051414,6.059399,-2.294429
975,-2.531536,-0.402363,-4.121829
976,-4.105063,-3.333867,-5.010381
977,-4.006868,-1.619033,-4.409231
978,-1.710044,3.709885,-2.392625
979,1.384321,9.441167,-1.666934
980,4.521797,13.675562,-2.246528
981,6.447393,15.663428,-2.577041
982,5.913303,15.30657,-2.050137
983,3.400928,13.448035,-0.998723
984,1.19751,11.558364,-0.126936
985,-0.174836,9.79563,0.459844
986,-0.972378,8.653206,0.811912
987,-1.468147,8.277188,1.281335
988,-1.863325,8.58375,1.635798
989,-1.978286,9.187295,1.968706
990,-1.592688,9.8579,1.896855
991,-0.876577,10.36325,1.353186
992,-0.0479,10.41115,0.378413
993,0.833467,10.233918,-0.445474
994,1.535208,9.939331,-1.190325
995,1.947151,9.481882,-1.82261
996,2.165098,9.20885,-2.294429
997,2.174678,9.24717,-2.474055
998,2.081272,9.443562,-2.368674
999,1.88967,9.632769,-2.050137
1000,1.626218,9.730964,-1.508862
1001,1.101709,9.960886,-1.26457
1002,0.371228,10.346484,-0.881367
1003,-0.198787,10.480605,-0.574805
1004,-0.538879,10.260264,-0.356858
1005,-0.862207,9.984836,-0.349673
1006,-1.082549,9.577683,-0.637075
1007,-1.379531,9.196875,-0.989143
1008,-1.377136,9.017249,-1.27415
1009,-1.060994,9.137,-1.499282
1010,-0.493374,9.417217,-1.496887
1011,0.05269,9.893826,-1.468147
1012,0.361648,10.593171,-1.386716
1013,0.380808,11.067385,-1.156794
1014,0.292192,11.189531,-0.924478
1015,0.021555,11.024275,-0.905317
1016,-0.244292,10.724897,-1.147214
1017,-0.320933,10.159673,-1.84177
1018,-0.191602,9.740544,-2.256108
1019,0.098196,9.82437,-2.028582
1020,0.431104,10.370435,-1.652563
1021,0.665815,10.837463,-1.417852
1022,1.001118,10.926079,-1.396296
1023,1.161584,10.851833,-1.398691
1024,1.140029,10.861414,-1.144819
1025,0.843047,10.954819,-0.637075
1026,0.886157,11.747571,-0.081431
1027,1.535208,13.788127,0.416733
1028,2.275269,16.278948,0.857417
1029,2.658472,16.736396,0.764011
1030,1.712439,15.546072,0.598755
1031,0.486189,14.509028,1.185535
1032,0.222737,13.589341,1.829795
1033,-0.114961,12.578643,2.026187
1034,-0.838257,11.630215,1.84177
1035,-1.348396,10.763218,1.422642
1036,-1.592688,10.320139,0.900527
1037,-1.262175,10.195598,0.146096
1038,-0.376018,10.667417,-1.305286
1039,0.63468,11.900852,-3.614084
1040,1.19751,13.407319,-5.055886
1041,1.573528,13.893508,-4.533772
1042,1.887275,13.510305,-3.273992
1043,1.743574,12.753479,-1.978286
1044,1.547183,12.188254,-0.950823
1045,1.413062,11.335627,-1.017883
1046,1.063389,10.506951,-1.607058
1047,0.766406,9.7621,-2.114802
1048,0.486189,9.25675,-2.184258
1049,0.337698,8.830437,-2.311194
1050,0.268242,8.454419,-2.454895
1051,0.232317,8.296348,-2.323169
1052,0.114961,8.133486,-1.901646
1053,-0.045505,7.872429,-1.805845
1054,-0.328118,7.450906,-1.525627
1055,-0.723296,7.117998,-1.214275
1056,-1.219065,6.888076,-1.082549
1057,-1.616638,6.619834,-1.137634
1058,-1.88009,6.526428,-0.962798
1059,-2.268083,6.634204,-0.919687
1060,-2.608176,6.78988,-0.740061
1061,-2.771038,7.307205,-0.490979
1062,-2.665657,7.862849,-0.349673
1063,-2.416575,8.265212,-0.306563
1064,-2.098037,8.430469,-0.146096
1065,-1.84177,8.784932,0.241897
1066,-1.671724,9.225615,0.766406
1067,-1.650168,9.501042,1.465752
1068,-1.78429,9.611213,1.80824
1069,-1.848955,9.572893,1.858535
1070,-1.786685,9.374106,1.959126
1071,-1.118474,9.22801,2.174678
1072,-0.249082,9.14179,2.696792
1073,0.459844,9.20406,3.467988
1074,1.034648,9.616003,4.440366
1075,1.492097,10.882969,5.130132
1076,1.609453,12.729529,5.142107
1077,1.257385,14.195281,4.574487
1078,0.874182,14.10906,3.393743
1079,0.570015,12.475657,2.644102
1080,-0.222737,10.102192,2.323169
1081,-1.195115,7.836504,1.551973
1082,-2.617756,6.076165,0.490979
1083,-5.175637,7.276069,0.924478
1084,-5.664221,10.662627,-2.682422
1085,-5.120552,14.365327,-3.192561
1086,-1.513652,18.942209,-0.402363
1087,1.23583,19.619401,3.930227
1088,1.094524,18.293159,5.592371
1089,-0.282612,12.990586,0.263452
1090,-1.494492,5.384004,-5.470225
1091,-1.551973,0.0479,-5.910908
1092,-1.453777,-1.432222,-4.193679
1093,-0.862207,0.780776,-3.827241
1094,0.407153,5.783972,-3.439248
