frame,acc x,acc y,acc z
630,1.348396,10.569221,-0.112566
631,1.434617,10.499766,-0.02395
632,1.405876,10.437495,0.150886
633,1.384321,10.205178,0.126936
634,1.2023,9.968071,0.03353
635,0.843047,9.77168,-0.143701
636,0.617915,9.529783,-0.328118
637,0.193997,9.594448,-0.323328
638,-0.150886,9.474697,-0.584385
639,-0.60115,9.520203,-0.550854
640,-0.917292,9.642349,-0.759221
641,-1.27894,10.011182,-0.62031
642,-1.300496,10.516531,-0.682581
643,-1.152004,11.009905,-0.821492
644,-1.163979,11.393108,-0.747246
645,-0.876577,11.445798,-0.819097
646,-0.536484,11.273357,-0.907712
647,-0.203577,10.856624,-1.144819
648,0.237107,10.418335,-1.329236
649,0.673,10.006392,-1.547183
650,0.792751,9.707014,-1.724414
651,0.790356,9.378896,-2.042952
652,0.682581,9.201665,-2.124382
653,0.416733,9.089099,-1.983076
654,0.026345,9.115444,-1.671724
655,-0.359253,9.275911,-1.266965
656,-0.60115,9.582473,-0.910107
657,-0.61073,9.929751,-0.651445
658,-0.536484,10.087822,-0.330513
659,-0.486189,10.233918,0.04311
660,-0.55325,10.37762,0.174836
661,-0.440684,10.605146,0.352068
662,-0.332908,10.938054,0.570015
663,-0.158071,11.208691,0.991538
664,0.035925,11.481724,1.312471
665,0.335303,11.728411,1.262175
666,0.593965,11.776311,1.228645
667,0.692161,11.66135,1.286125
668,0.771196,11.393108,1.434617
669,0.934058,11.237432,1.676514
670,1.111289,11.361973,1.748364
671,1.032253,11.60866,1.674119
672,0.771196,11.565549,1.348396
673,0.479004,11.275752,1.26457
674,0.332908,10.861414,1.355581
675,0.273032,10.823093,1.257385
676,0.258662,10.830278,1.049019
677,0.316143,10.835068,1.190325
678,0.270637,10.813513,1.161584
679,0.335303,10.748848,0.874182
680,0.328118,10.526111,0.855022
681,0.359253,10.195598,0.924478
682,0.440684,9.754915,0.845442
683,0.498164,9.501042,0.991538
684,0.455054,9.383687,0.967588
685,0.359253,9.2328,1.005908
686,0.191602,9.084309,1.341211
687,0.050295,8.966953,1.566343
688,-0.02395,8.825647,1.913621
689,-0.110171,8.782537,2.021396
690,-0.275427,8.763376,2.095642
691,-0.450264,8.749006,2.258503
692,-0.541274,8.799302,2.373464
693,-0.641865,8.799302,2.49561
694,-0.728086,8.914263,2.660867
695,-0.778381,9.024434,2.751877
696,-0.797542,9.093889,2.897974
697,-0.785566,9.14658,3.089575
698,-0.775986,9.254355,2.996169
699,-0.706531,9.25675,3.032095
700,-0.646655,9.225615,3.046465
701,-0.474214,9.144185,3.09197
702,-0.318538,8.885522,3.293152
703,-0.301772,8.727451,3.333867
704,-0.208367,8.760981,3.142266
705,-0.143701,8.993298,2.979404
706,-0.160466,9.137,3.01533
707,-0.126936,9.077124,3.285967
708,-0.02395,9.084309,3.585344
709,0.301772,9.113049,3.750601
710,0.740061,9.290281,3.870352
711,1.319656,9.517808,3.832031
712,1.971101,9.697434,3.690725
713,2.282454,9.738149,3.408113
714,2.474055,9.616003,2.845283
715,2.536326,9.340576,2.42855
716,2.48124,9.074729,2.361489
717,2.268083,8.732241,2.483635
718,1.85135,8.646021,2.598596
719,1.432222,8.820857,2.562671
720,0.977168,9.25196,2.574646
721,0.474214,9.821975,2.600991
722,-0.088616,10.533296,2.718347
723,-0.752036,11.359578,2.589016
724,-1.369951,12.31519,2.493215
725,-1.85614,13.711487,2.143542
726,-1.896855,14.798826,1.611848
727,-1.288521,14.451548,1.441802
728,-0.500559,13.203743,1.772314
729,-0.02874,12.006233,2.050137
730,-0.467029,11.098521,1.980681
731,-1.161584,10.056687,1.750759
732,-1.88488,8.571775,1.494492
733,-2.373464,7.379055,1.238225
734,-2.991379,6.382727,0.811912
735,-3.266807,6.085745,0.411943
736,-2.943479,6.569539,-0.447869
737,-1.681304,7.450906,-1.415457
738,0.193997,8.581355,-2.517166
739,2.589016,9.747729,-2.996169
740,4.816384,10.916499,-2.902764
741,6.600674,11.905642,-2.977009
742,7.587422,12.480447,-2.526746
743,7.369475,12.331956,-2.081272
744,5.860613,11.584709,-1.652563
745,3.805686,10.564431,-1.420247
746,1.640588,9.479487,-1.147214
747,-0.203577,8.62207,-0.871787
748,-1.302891,8.116721,-0.716111
749,-1.472937,8.310718,-0.531694
750,-1.072969,8.976533,-0.251477
751,-0.332908,9.865085,-0.234712
752,0.759221,10.437495,-0.962798
753,1.633403,10.700947,-1.796265
754,2.41897,10.641072,-2.665657
755,2.912344,10.202783,-3.09676
756,3.012935,9.718989,-3.305127
757,2.646497,9.378896,-3.453618
758,2.198628,9.22801,-3.439248
759,1.539998,9.273516,-3.08239
760,1.163979,9.371711,-2.931504
761,0.943638,9.453142,-2.517166
762,0.874182,9.546548,-2.256108
763,0.766406,9.570498,-2.086062
764,0.59157,9.826765,-1.719624
765,0.395178,9.896221,-1.372346
766,0.177231,9.879456,-1.161584
767,0.031135,9.8579,-1.075364
768,0.002395,9.783655,-0.998723
769,0.102986,9.78126,-0.941243
770,0.395178,9.730964,-1.022673
771,0.754431,9.81958,-1.137634
772,1.329236,9.874666,-1.228645
773,2.054927,10.245894,-0.926873
774,2.790198,10.744058,-0.608335
775,3.285967,10.962004,-0.196392
776,3.360212,11.038645,-0.222737
777,2.864443,10.667417,-0.775986
778,2.141147,10.138118,-1.322051
779,1.331631,9.654324,-1.815425
780,0.670605,9.278306,-2.304009
781,0.285007,9.359736,-2.557881
782,0.162861,9.577683,-2.701582
783,0.277822,9.675879,-2.584226
784,0.725691,9.86269,-2.531536
785,1.233435,9.977651,-2.883604
786,1.475332,10.001602,-3.09676
787,1.518442,10.001602,-2.993774
788,1.403481,10.241104,-2.589016
789,1.111289,10.41594,-2.347119
790,0.787961,10.526111,-2.105222
791,0.565225,10.595566,-2.016606
792,0.56762,10.638677,-2.004631
793,0.723296,10.492581,-1.978286
794,1.013093,10.557246,-2.026187
795,1.281335,10.942844,-1.920806
796,1.413062,11.287727,-1.810635
797,1.451382,11.354788,-1.393901
798,1.429827,11.287727,-0.795146
799,1.575923,11.196716,-0.253872
800,1.626218,11.273357,0.356858
801,1.81303,11.429033,0.816702
802,2.354304,11.893667,0.910107
803,2.991379,13.086387,1.039438
804,3.302732,14.027629,1.346001
805,3.283572,14.334192,1.465752
806,3.003354,14.485078,1.523232
807,2.464475,14.70063,1.429827
808,1.551973,14.370117,1.456172
809,0.689766,13.318704,1.346001
810,0.347278,12.27687,0.761616
811,0.275427,11.400293,0.411943
812,0.191602,11.053015,0.225132
813,0.045505,10.959609,-0.541274
814,0.021555,11.122471,-1.391506
815,-0.095801,11.536809,-2.038162
816,-0.407153,11.888877,-2.519561
817,-0.447869,12.240945,-2.864443
818,-0.560435,12.22418,-2.783013
819,-0.308958,12.250525,-2.799778
820,0.02874,12.085269,-3.10634
821,0.493374,11.972703,-2.833308
822,0.462239,11.726016,-2.519561
823,0.699346,11.553574,-2.632126
824,0.876577,11.397898,-2.287244
825,0.981958,11.086545,-2.066902
826,1.025068,10.894944,-2.110012
827,0.948428,10.959609,-1.959126
828,0.811912,10.748848,-1.997446
829,0.347278,10.327324,-1.83219
830,-0.184417,9.79084,-1.458567
831,-0.323328,9.25196,-1.300496
832,-0.397573,8.552615,-1.060994
833,-0.227527,7.99218,-0.938848
834,-0.179626,7.204219,-1.075364
835,-0.246687,6.540798,-1.140029
836,-0.517324,6.10251,-1.271755
837,-1.013093,5.745652,-1.24541
838,-1.362766,5.736072,-1.108894
839,-1.432222,5.822292,-0.716111
840,-1.329236,6.07856,-0.325723
841,-1.290916,6.514453,0.158071
842,-1.293311,6.916816,0.536484
843,-1.228645,7.494016,1.041833
844,-1.068179,7.96344,1.477727
845,-0.752036,8.416099,1.949546
846,-0.366438,8.799302,2.672842
847,0.088616,9.005273,3.381768
848,0.565225,8.950188,3.68354
849,0.843047,8.749006,3.671565
850,1.056204,8.495134,3.515889
851,0.998723,8.090376,3.288362
852,0.862207,7.709568,3.130291
853,0.713716,7.745493,3.271597
854,0.637075,8.195757,3.590134
855,0.344883,9.477092,3.803291
856,0.03832,11.287727,4.076323
857,-0.330513,13.031301,4.272715
858,-0.435894,14.05637,4.562512
859,-0.0479,14.441968,5.130132
860,0.704136,14.489868,5.336104
861,1.26457,14.576089,4.545747
862,1.262175,14.293477,3.606899
863,1.120869,13.402529,3.118315
864,0.816702,12.013418,2.498005
865,-0.131726,10.880574,1.829795
866,-1.801055,10.811118,0.136516
867,-2.854863,10.981165,-2.050137
868,-2.138752,10.200388,-3.463198
869,-0.919687,9.249565,-3.894302
870,0.876577,9.055569,-2.761458
871,2.253713,8.904683,-1.058599
872,2.028582,7.908354,-0.160466
873,0.993933,7.108418,-0.172441
874,-0.65384,6.444998,-0.438289
875,-1.312471,5.985154,-0.550854
876,-0.622705,5.939648,-1.659749
877,0.684976,6.610254,-3.752996
878,1.367556,8.238867,-5.49657
879,1.434617,10.408755,-5.494175
880,2.284849,12.2146,-3.968547
881,3.903882,12.729529,-2.165098
882,5.386399,12.090059,-1.056204
883,5.731282,11.167976,-0.797542
884,4.653523,10.518926,-1.305286
885,2.557881,10.209968,-1.84656
886,0.538879,9.927356,-2.210603
887,-0.670605,9.630374,-2.102827
888,-1.266965,9.534573,-1.592688
889,-0.792751,9.630374,-1.276545
890,0.399968,10.051897,-1.149609
891,1.772314,10.365645,-1.092129
892,2.869233,10.334509,-1.118474
893,3.194956,10.068662,-1.28373
894,2.759063,9.582473,-1.350791
895,1.944756,9.077124,-1.647773
896,1.144819,8.789722,-1.901646
897,0.481399,8.796907,-2.268083
898,0.201182,9.024434,-2.517166
899,0.191602,9.287886,-2.850073
900,0.299377,9.560918,-2.610571
901,0.60115,9.711804,-2.215393
902,0.874182,9.968071,-1.609453
903,0.881367,10.3872,-1.068179
904,0.778381,10.557246,-0.926873
905,0.531694,10.4351,-1.051414
906,0.373623,10.044712,-1.123264
907,0.428708,9.78605,-1.092129
908,0.665815,10.049502,-0.840652
909,0.989143,10.696157,-0.421523
910,1.298101,11.352393,0.117356
911,1.642983,11.817026,0.292192
912,1.769919,11.862532,0.00958
913,1.729204,11.821816,-0.246687
914,1.762734,11.893667,-0.435894
915,1.913621,12.109219,-0.522114
916,2.349514,12.29124,-0.519719
917,2.830913,12.20981,-0.294587
918,3.022515,11.843372,-0.117356
919,2.988984,11.644585,0.239502
920,2.998564,11.702065,0.61073
921,2.972219,11.64219,0.574805
922,2.725532,12.284055,1.27894
923,2.524351,13.608501,2.287244
924,2.189048,14.628779,3.089575
