frame,acc x,acc y,acc z
597,-1.20709,9.908196,0.059875
598,-1.23104,9.886641,0.02874
599,-1.159189,9.960886,-0.00479
600,-1.147214,9.970466,-0.100591
601,-1.137634,10.037527,-0.146096
602,-1.111289,10.083032,-0.205972
603,-1.104104,10.118958,-0.311353
604,-1.029858,10.174043,-0.306563
605,-0.996328,10.142908,-0.311353
606,-0.905317,10.140513,-0.344883
607,-0.881367,10.118958,-0.366438
608,-0.895737,10.130933,-0.354463
609,-0.850232,10.104587,-0.390388
610,-0.766406,10.090217,-0.462239
611,-0.684976,9.977651,-0.58199
612,-0.55804,9.905801,-0.778381
613,-0.404758,9.82916,-1.027463
614,-0.220342,9.905801,-1.140029
615,-0.134121,10.049502,-1.171165
616,-0.026345,10.102192,-1.24541
617,0.011975,10.078242,-1.144819
618,0.055085,10.047107,-1.123264
619,-0.007185,10.054292,-1.154399
620,-0.081431,10.102192,-1.195115
621,-0.217947,10.257869,-1.132844
622,-0.299377,10.380015,-1.082549
623,-0.438289,10.432705,-0.984353
624,-0.680186,10.39199,-0.809517
625,-0.876577,10.341694,-0.62031
626,-1.132844,10.202783,-0.373623
627,-1.312471,10.126143,-0.05748
628,-1.432222,10.018367,0.086221
629,-1.398691,9.987231,0.217947
630,-1.305286,9.994417,0.119751
631,-1.029858,10.061477,0.03353
632,-0.720901,10.083032,-0.146096
633,-0.244292,10.169253,-0.342488
634,0.316143,10.272239,-0.514929
635,0.819097,10.324929,-0.720901
636,1.063389,10.296189,-0.905317
637,1.23583,10.241104,-0.989143
638,1.24541,10.157278,-1.096919
639,1.175955,10.140513,-0.996328
640,0.924478,10.169253,-0.991538
641,0.61552,10.152488,-0.871787
642,0.191602,10.025552,-0.778381
643,-0.416733,9.944121,-0.771196
644,-1.113684,9.81,-0.723296
645,-1.633403,9.635164,-0.474214
646,-1.975891,9.584868,-0.364043
647,-2.083667,9.618398,-0.186812
648,-1.911226,9.714199,-0.189207
649,-1.631008,9.788445,-0.134121
650,-1.266965,9.879456,-0.337698
651,-0.910107,9.903406,-0.488584
652,-0.718506,10.020762,-0.677791
653,-0.56762,10.114167,-0.785566
654,-0.407153,10.114167,-0.723296
655,-0.332908,10.190808,-0.814307
656,-0.352068,10.202783,-0.747246
657,-0.241897,10.118958,-0.711321
658,-0.162861,10.140513,-0.692161
659,-0.098196,10.303374,-0.589175
660,-0.062271,10.437495,-0.368833
661,-0.083826,10.540481,-0.107776
662,-0.091011,10.722502,0.007185
663,-0.093406,10.914104,0.241897
664,-0.124541,11.048225,0.505349
665,-0.031135,11.08894,0.617915
666,0.241897,11.282937,0.512534
667,0.56762,11.536809,0.299377
668,0.950823,12.044553,0.079036
669,1.307681,12.628938,-0.160466
670,1.453777,13.165422,-0.419128
671,1.377136,13.203743,-0.270637
672,1.128054,12.791799,-0.146096
673,1.128054,12.791799,-0.146096
674,0.316143,12.125984,0.136516
675,0.079036,12.23855,0.419128
676,0.055085,12.458892,0.775986
677,0.00958,12.542717,1.034648
678,-0.244292,12.360696,1.20709
679,-0.538879,12.037368,1.26936
680,-0.775986,11.654165,1.21188
681,-1.015488,11.381133,1.010698
682,-1.22146,11.328442,0.888552
683,-1.381926,11.527229,0.637075
684,-1.381926,11.527229,0.637075
685,-2.112407,10.504556,-1.075364
686,-2.062112,10.260264,-0.481399
687,-2.110012,10.126143,-0.160466
688,-2.196233,10.253079,-0.337698
689,-2.529141,10.334509,-0.598755
690,-2.478845,10.236313,-0.941243
691,-2.064507,10.186018,-1.051414
692,-1.501677,10.150093,-1.563948
693,-0.749641,10.049502,-1.729204
694,0.01916,9.8579,-1.518442
695,0.63947,9.960886,-1.163979
696,0.888552,10.159673,-0.732876
697,0.656235,10.111772,-0.256267
698,0.249082,9.845925,0.016765
699,-0.402363,9.405242,0.407153
700,-1.001118,9.060359,0.720901
701,-1.484912,8.794512,0.802332
702,-1.999841,8.504714,0.752036
703,-2.538721,8.205337,0.828677
704,-2.864443,7.884404,1.154399
705,-2.984194,7.786208,1.506467
706,-2.835703,7.862849,1.88009
707,-2.536326,8.064031,2.090852
708,-2.248923,8.260422,2.136357
709,-2.086062,8.435259,2.045347
710,-2.083667,8.566985,1.959126
711,-2.136357,8.667576,1.882485
712,-2.215393,8.667576,1.79866
713,-2.287244,8.55022,1.815425
714,-2.306404,8.346643,1.990261
715,-2.143542,8.243657,2.169888
716,-1.84656,8.279583,2.646497
717,-1.446592,8.389753,3.04886
718,-1.068179,8.368198,3.235671
719,-0.656235,8.485554,3.348237
720,-0.337698,8.298743,3.604504
721,-0.155676,8.315508,3.616479
722,-0.155676,8.109536,3.623665
723,-0.239502,8.246052,3.690725
724,-0.273032,8.133486,3.556604
725,-0.306563,8.126301,3.470383
726,0.002395,8.159832,3.417693
727,0.289797,8.406519,3.276387
728,0.428708,8.794512,3.350632
729,0.376018,9.22322,3.369792
730,0.397573,9.618398,3.64522
731,0.376018,10.049502,3.951782
732,0.222737,10.317744,4.502637
733,0.011975,10.605146,5.096602
734,-0.323328,10.708132,5.556445
735,-0.886157,10.636282,5.812712
736,-1.528022,10.384805,5.666616
737,-2.224973,10.195598,5.429509
738,-2.943479,10.370435,5.089417
739,-3.867957,11.371553,3.709885
740,-4.29427,12.073293,2.368674
741,-4.25116,12.870835,1.750759
742,-4.445156,13.364209,2.066902
743,-4.581672,12.918735,2.596201
744,-4.25116,12.25771,2.306404
745,-3.558999,11.864927,1.410667
746,-2.744692,11.639795,0.325723
747,-1.963916,11.278147,-0.708926
748,-1.322051,10.715317,-0.744851
749,-0.720901,9.941726,0.361648
750,-0.464634,9.084309,1.587898
751,-0.373623,8.456814,2.090852
752,-0.179626,7.771838,1.516047
753,0.119751,7.3096,0.220342
754,0.641865,6.935977,-1.163979
755,1.27894,6.68929,-2.545906
756,1.693279,6.856941,-4.047583
757,1.88488,7.340735,-5.113367
758,1.983076,8.212522,-5.173242
759,1.82261,9.7621,-4.27032
760,1.542393,11.07457,-2.996169
761,0.977168,12.183464,-1.547183
762,0.198787,12.614568,-0.275427
763,-0.457449,12.427756,0.802332
764,-1.010698,11.872112,1.439407
765,-1.257385,11.297307,1.585503
766,-1.398691,10.942844,1.513652
767,-1.341211,10.779983,1.307681
768,-1.367556,10.653047,1.228645
769,-1.425037,10.480605,0.936453
770,-1.492097,10.202783,0.433499
771,-1.480122,9.81,-0.246687
772,-1.357976,9.280701,-0.962798
773,-1.094524,8.986113,-1.554368
774,-0.720901,8.806487,-1.80345
775,-0.217947,8.794512,-1.769919
776,0.239502,8.990903,-1.432222
777,0.479004,9.2328,-1.053809
778,0.550854,9.462722,-0.711321
779,0.474214,9.596843,-0.423918
780,0.148491,9.613608,-0.234712
781,-0.217947,9.527388,-0.186812
782,-0.673,9.441167,-0.213157
783,-1.096919,9.445957,-0.239502
784,-1.369951,9.366921,-0.225132
785,-1.590293,9.299861,-0.0479
786,-1.719624,9.405242,0.332908
787,-1.863325,9.627979,0.651445
788,-1.959126,9.80042,0.946033
789,-1.908831,10.150093,1.432222
790,-1.544788,10.44947,1.647773
791,-1.039438,10.542876,1.750759
792,-0.433499,10.44947,1.494492
793,0.153281,10.293794,1.16877
794,0.893342,10.423125,0.840652
795,1.566343,10.669812,0.55325
796,2.153123,10.935659,0.380808
797,2.318379,10.614727,0.184417
798,2.256108,10.011182,-0.320933
799,2.215393,9.845925,-0.60594
800,2.378254,10.042317,-0.938848
801,2.622546,11.103311,-1.290916
802,2.763853,12.152329,-1.551973
803,2.488425,13.416899,-1.535208
804,1.563948,14.192886,-1.587898
805,0.526904,14.932947,-1.587898
806,-0.756826,15.558047,-0.871787
807,-2.445315,15.244299,0.399968
808,-3.760181,14.592854,1.532813
809,-3.793711,14.746135,2.263293
810,-3.793711,14.746135,2.263293
811,-3.300337,14.449153,2.066902
812,-2.811753,13.721067,1.88009
813,-2.330354,12.923525,1.585503
814,-2.054927,12.284055,1.046624
815,-1.987866,11.70925,0.392783
816,-1.848955,11.07457,-0.177231
817,-1.733994,10.633887,-0.720901
818,-1.748364,10.071057,-1.2023
819,-2.234553,9.400452,-1.580713
820,-2.821333,8.943003,-1.707649
821,-3.11592,9.048384,-1.463357
822,-2.893184,9.994417,-0.354463
823,-2.143542,11.268567,0.344883
824,-1.132844,11.785891,1.063389
825,-0.330513,11.266172,1.041833
826,0.229922,10.150093,0.332908
827,0.819097,9.23759,-0.500559
828,1.099314,8.55022,-0.768801
829,1.214275,8.090376,-0.924478
830,1.080154,7.774233,-1.029858
831,0.744851,7.558682,-1.029858
832,0.179626,7.649692,-0.792751
833,-0.5772,7.707173,-0.249082
834,-1.322051,7.836504,0.198787
835,-2.038162,7.867639,0.704136
836,-2.548301,7.903564,1.228645
837,-2.881208,7.834109,1.700464
838,-2.979404,7.829319,2.052532
839,-2.835703,7.735913,2.201023
840,-2.708767,7.716753,2.078877
841,-2.363884,7.704778,2.002236
842,-2.172283,7.616162,1.999841
843,-2.112407,7.601792,2.004631
844,-2.167493,7.640112,1.968706
845,-2.337539,7.637717,1.935176
846,-2.44292,7.553892,2.047742
847,-2.435735,7.513176,2.332749
848,-2.287244,7.505991,2.553091
849,-2.088457,7.544312,3.118315
850,-1.83698,7.491621,3.487148
851,-1.657354,7.534731,4.018843
852,-1.465752,7.549102,4.282295
853,-1.257385,7.661667,4.751719
854,-1.053809,7.826924,4.969666
855,-0.943638,7.905959,4.768484
856,-0.898132,7.9826,4.562512
857,-0.728086,8.064031,4.437971
858,-0.282612,8.334668,4.131409
859,0.292192,8.722661,3.894302
860,0.790356,9.295071,4.119434
861,1.252595,10.293794,4.708608
862,1.458567,11.371553,5.350474
863,1.288521,12.173884,5.645061
864,0.950823,12.530742,5.805527
865,0.153281,12.751084,6.17915
866,-1.633403,13.038486,6.787485
867,-4.2799,13.965359,6.042634
868,-6.413862,14.420413,5.381609
869,-7.168293,14.501843,4.30385
870,-7.556287,13.977334,3.695515
871,-7.197034,12.779824,2.181863
872,-5.52531,11.266172,0.107776
873,-3.283572,9.994417,-1.355581
874,-1.427432,9.970466,-1.743574
875,-0.708926,10.322534,-1.159189
876,-0.948428,10.727292,0.126936
877,-1.590293,10.741663,1.554368
878,-1.80824,10.217153,2.145938
879,-1.16877,9.481882,1.949546
880,-0.177231,8.310718,0.874182
881,0.617915,7.007827,-0.210762
882,1.322051,5.942043,-1.28373
883,1.85135,5.575605,-2.749482
884,2.124382,5.891748,-3.604504
885,2.172283,6.615044,-3.776946
886,2.095642,7.980205,-3.168611
887,1.908831,9.702224,-2.47166
888,1.705254,11.132051,-1.484912
889,1.140029,11.850557,-0.421523
890,0.414338,11.785891,0.287402
891,-0.280217,11.218271,0.337698
892,-0.986748,10.399175,-0.059875
893,-1.369951,9.944121,-0.730481
894,-1.676514,10.032737,-1.434617
895,-1.84177,10.36325,-1.470542
896,-1.85135,10.954819,-0.819097
897,-1.738784,11.532019,-0.074246
898,-1.604663,11.740386,0.706531
899,-1.453777,11.448193,1.343606
900,-1.195115,11.024275,1.477727
901,-0.972378,10.44468,1.257385
902,-0.749641,9.884246,0.809517
903,-0.498164,9.520203,0.213157
904,-0.241897,9.084309,-0.301772
905,-0.138911,8.729846,-0.857417
906,-0.160466,8.463999,-1.487307
907,-0.222737,8.284373,-2.011816
908,-0.258662,8.401729,-2.035767
909,0.222737,9.22322,-1.120869
910,0.222737,9.22322,-1.120869
911,0.641865,9.78605,-0.510139
912,0.931663,10.272239,0.352068
913,0.912502,10.559641,1.094524
914,0.632285,10.626702,1.623823
915,0.177231,10.624307,1.911226
916,-0.081431,10.40636,2.112407
917,-0.02395,10.068662,2.208208
918,0.136516,9.783655,2.201023
919,0.349673,9.78605,1.626218
920,0.627495,10.243499,0.974773
921,0.931663,10.933264,0.464634
922,0.843047,11.369158,0.332908
923,0.486189,11.127261,0.828677
924,0.086221,10.447075,1.362766
925,0.02395,10.502161,1.554368
926,0.196392,11.215876,1.456172
927,0.426313,11.520044,1.104104
928,0.526904,11.239827,0.732876
929,0.60594,10.686577,0.421523
930,1.041833,10.870994,0.296982
931,1.868115,12.542717,-0.447869
932,2.44771,14.806011,-0.61552
933,2.45729,16.453784,0.464634
934,2.076482,15.711328,1.906436
935,1.82261,14.669495,2.311194
936,1.602268,14.329402,2.181863
937,1.24062,14.437178,1.85135
938,0.917292,14.633569,1.338816
939,0.383203,14.68626,0.493374
940,-0.524509,14.173726,-0.079036
941,-1.604663,12.84449,-0.560435
942,-2.066902,11.352393,-0.613125
943,-2.222578,9.965676,-1.26936
944,-2.816543,9.273516,-1.257385
945,-3.403323,9.354946,-0.783171
946,-4.344565,9.335786,-0.773591
947,-4.397256,9.905801,0.407153
948,-3.820056,10.839858,0.584385
949,-2.830913,11.366763,0.608335
950,-1.566343,11.567944,0.122146
951,-0.237107,11.369158,-0.529299
952,0.845442,11.00751,-1.125659
953,1.580713,10.643467,-1.298101
954,1.973496,10.423125,-1.530417
955,1.81303,9.881851,-1.733994
956,1.175955,9.15137,-2.016606
957,0.239502,8.495134,-1.892065
958,-0.835862,8.076006,-1.324446
959,-1.83698,7.776628,-0.464634
960,-2.591411,7.460486,0.433499
961,-3.226091,7.280859,1.329236
962,-3.606899,7.204219,2.143542
963,-3.750601,7.261699,2.876418
964,-3.67396,7.383845,3.127896
965,-3.551814,7.41498,3.10634
966,-3.307522,7.175479,2.878813
967,-2.874023,6.971902,2.591411
968,-2.392625,6.725215,2.383044
969,-1.966311,6.531218,2.124382
970,-1.623823,6.464158,1.844165
971,-1.475332,6.409072,1.84656
972,-1.233435,6.483318,1.820215
973,-1.111289,6.526428,2.234553
974,-0.878972,6.670129,2.651287
975,-0.57241,6.864126,3.247646
976,-0.304167,6.988667,4.143384
977,-0.172441,7.091653,4.802014
978,-0.423918,7.117998,5.439089
979,-0.778381,7.40061,5.714517
980,-1.029858,7.709568,5.647456
981,-1.015488,8.234077,5.190007
982,-0.5772,8.885522,4.411626
983,0.270637,9.783655,3.618875
984,1.214275,11.07457,3.252437
985,1.535208,12.025393,3.297942
986,1.89446,13.069622,3.829636
987,2.107617,13.584551,4.921765
988,1.611848,13.354629,6.1073
989,-0.071851,12.207415,7.295229
990,-2.107617,10.691367,7.846084
991,-3.489543,9.002878,7.230564
992,-4.33259,8.181387,5.630691
993,-4.921765,9.225615,3.487148
994,-4.509822,9.869875,0.807122
995,-3.791316,11.316467,-0.031135
996,-3.599714,13.026511,0.280217
997,-3.312312,14.300662,0.684976
998,-2.45729,15.385605,0.079036
999,-1.925596,16.008311,-1.374741
1000,-2.050137,15.943645,-2.181863
1001,-2.258503,14.911392,-1.015488
1002,-2.629731,12.480447,1.068179
1003,-2.917134,10.011182,2.387834
1004,-2.629731,7.446116,2.747087
1005,-1.738784,5.551655,1.923201
1006,-0.170046,3.915857,0.373623
1007,1.683699,3.259622,-2.39981
1008,2.972219,3.487148,-5.776787
1009,2.715952,7.850874,-8.131091
1010,2.715952,7.850874,-8.131091
1011,2.308799,11.414663,-5.211563
1012,1.726809,14.715,-1.353186
1013,1.190325,15.821499,1.825005
1014,0.608335,14.837146,4.124224
1015,0.682581,12.796589,4.94332
1016,0.773591,10.456655,3.930227
1017,0.783171,8.729846,2.093247
1018,0.522114,8.02571,0.378413
1019,0.069456,7.932305,-1.147214
1020,-0.732876,8.214917,-1.736389
1021,-1.714834,8.722661,-2.110012
1022,-2.41897,9.254355,-1.89446
1023,-2.538721,9.79563,-1.642983
1024,-2.035767,10.071057,-0.926873
1025,-1.2502,10.102192,-0.055085
1026,-0.416733,10.056687,0.780776
1027,0.239502,9.855505,1.163979
1028,0.716111,9.572893,0.962798
1029,0.993933,9.340576,0.419128
1030,1.132844,9.24717,-0.234712
1031,1.108894,9.196875,-0.809517
1032,0.862207,9.182505,-0.912502
1033,0.66821,9.352551,-0.785566
1034,0.443079,9.596843,-0.086221
1035,0.443079,9.932146,0.622705
1036,0.565225,10.171648,1.163979
1037,0.526904,10.229128,1.645378
1038,0.325723,10.274634,1.566343
1039,-0.227527,10.181228,1.539998
1040,-0.744851,10.023157,1.27415
1041,-1.142424,9.893826,0.766406
1042,-0.931663,9.889036,-0.191602
1043,-0.902922,10.106982,-0.112566
1044,-0.371228,10.499766,-0.170046
1045,0.119751,10.583591,-0.069456
1046,0.397573,10.578801,-0.263452
1047,0.340093,10.746453,-0.555645
1048,-0.170046,11.09373,-0.981958
1049,-0.833467,11.335627,-1.089734
1050,-1.458567,11.431428,-0.931663
1051,-1.652563,11.472144,-0.661025
