acc x,acc y,acc z
0.652283,9.35878,-1.482193
0.550995,9.367874,-1.515503
0.448837,9.472733,-1.523605
0.377258,9.55954,-1.519699
0.309753,9.587311,-1.463165
0.255722,9.575745,-1.366211
0.231857,9.521286,-1.337189
0.211624,9.482315,-1.381119
0.216049,9.459183,-1.38649
0.259277,9.390305,-1.46875
0.281494,9.335968,-1.505127
0.26239,9.262451,-1.474731
0.232895,9.201279,-1.435638
0.158676,9.181686,-1.489029
-0.043289,9.215393,-1.613281
-0.025711,9.322678,-1.630966
-0.118683,9.335999,-1.658432
-0.251373,9.394699,-1.684815
-0.261475,9.441467,-1.69751
-0.280365,9.485107,-1.662811
-0.247406,9.507919,-1.626114
-0.281647,9.511215,-1.629944
-0.334671,9.574432,-1.66864
-0.213303,9.688126,-1.785782
-0.090164,9.746491,-1.989853
0.030685,9.66037,-1.977951
0.036285,9.396591,-1.702957
-0.140793,9.135407,-1.328247
-0.354874,8.894897,-1.038086
-0.46019,8.86377,-1.02446
-0.635986,9.022217,-1.207901
-0.509979,9.399933,-1.433411
-0.602203,9.538025,-1.504425
-0.624237,9.61766,-1.457031
-0.569336,9.576202,-1.324295
-0.692886,9.549088,-1.094666
-0.768951,9.514572,-0.907333
-0.733231,9.553207,-0.763153
-0.719788,9.648376,-0.739319
-0.661072,9.714966,-0.819229
-0.599426,9.779129,-1.000382
-0.614502,9.796799,-1.23999
-0.657944,9.740982,-1.345184
-0.759094,9.605835,-1.366775
-0.800262,9.49614,-1.22551
-0.827042,9.383179,-1.231995
-0.864609,9.278976,-1.300018
-0.847839,9.252701,-1.454056
-0.740341,9.293625,-1.697098
-0.6707,9.337006,-1.850937
-0.711975,9.397675,-1.860886
-0.78334,9.381653,-1.800217
-0.851913,9.271759,-1.552246
-0.897629,9.253082,-1.385223
-0.880646,9.268448,-1.342255
-0.796326,9.307953,-1.423721
-0.684235,9.407272,-1.472855
-0.67186,9.504166,-1.550705
-0.625717,9.606232,-1.672272
-0.568054,9.709824,-1.587585
-0.564087,9.646072,-1.412888
-0.534012,9.489838,-1.296372
-0.634445,9.338364,-1.331558
-0.664093,9.355453,-1.391174
-0.685684,9.424606,-1.477234
-0.71257,9.554367,-1.579803
-0.825378,9.757965,-1.615784
-0.762848,9.959747,-1.653748
-0.685638,9.934906,-1.542145
-0.585083,9.874161,-1.372467
-0.53157,9.76561,-1.309631
-0.543411,9.688599,-1.289719
-0.55304,9.688904,-1.253052
-0.51825,9.790131,-1.287109
-0.502106,9.905075,-1.195923
-0.508698,9.867859,-1.108612
-0.68306,9.926422,-0.945892
-1.034149,10.202072,-0.847549
-1.578369,10.946915,-1.053406
-1.902008,11.740814,-1.289917
-1.809692,11.910339,-1.110306
-1.943939,11.497604,-0.942001
-2.012131,11.116089,-0.882492
-1.93399,11.257889,-1.084778
-1.629547,11.742783,-1.632812
-0.982269,12.058121,-2.216812
-0.234451,11.819717,-2.42839
0.514633,11.333038,-2.467224
1.16716,10.63649,-2.543518
1.663147,9.817322,-2.415802
1.895737,8.976654,-2.115402
2.086517,8.305725,-1.540863
2.122879,8.27594,-1.704636
1.911713,8.902618,-1.473083
1.570236,9.870392,-1.554886
1.522736,10.658203,-1.762787
1.607895,11.081924,-1.771332
1.672272,11.263184,-1.580505
1.640106,11.374069,-1.281937
1.483688,11.308823,-1.053085
1.231186,11.205582,-0.816711
0.900574,11.032837,-0.728256
0.66275,10.767838,-0.958313
0.444305,10.473129,-1.710693
0.262451,10.189575,-2.491898
0.169708,9.95726,-2.984818
0.132553,9.767136,-3.111786
0.053131,9.5811,-2.88472
0.056,9.443054,-2.346878
0.184586,9.444626,-1.535721
0.391922,9.425323,-0.605408
0.641724,9.379608,0.299423
0.888885,9.197418,1.011261
1.061218,8.88475,1.502594
1.138596,8.407928,1.797378
1.307037,7.918564,1.980194
1.437897,7.438507,2.086182
1.507736,6.877014,2.082047
1.604843,6.451385,2.103836
1.643936,6.169373,2.173965
1.72757,5.956512,2.158279
1.81073,5.861191,1.993057
1.848175,5.917541,1.708801
1.953003,6.062531,1.412598
2.045288,6.230194,1.271561
2.049438,6.329086,1.222641
1.965057,6.345734,1.301544
1.839615,6.321304,1.542435
1.718338,6.3246,1.790283
1.529251,6.43454,2.134293
1.30928,6.744782,2.620041
1.164291,7.375854,3.271317
0.988876,8.329239,4.200897
0.705704,9.406174,5.324509
0.30809,10.334259,6.368103
-0.301331,10.79686,6.800217
-0.983215,10.882492,6.471161
-1.273727,10.951492,5.834732
-0.812225,11.256302,5.248489
0.169724,11.709396,4.792328
1.233841,11.782913,4.650497
2.157593,11.134064,4.831528
2.974213,10.517395,5.068512
3.104263,11.620712,5.776566
2.69339,14.071167,6.723145
3.207047,15.797592,6.161362
4.201157,16.176514,3.557755
3.974716,15.345108,0.576538
2.459335,13.289856,-1.038818
1.054306,10.020813,-0.527466
0.562439,5.48822,0.17926
0.580093,1.052673,-1.28241
0.112305,-1.373199,-2.409363
-0.65715,-1.808334,-2.097
-1.004349,-0.293289,-2.041351
-1.139709,3.655106,-1.813156
-1.078827,9.336014,-1.118896
-0.799332,14.91922,-1.146561
0.21199,18.272202,-2.450119
1.228394,18.004166,-3.216019
1.35376,14.808548,-2.221436
0.867477,10.780914,-0.689728
0.306625,7.591217,0.213074
-0.212372,5.750275,0.343201
-0.438126,5.095215,-0.319443
-0.281616,5.37674,-1.560288
-0.052261,6.59433,-2.477799
0.350235,8.520035,-2.649506
0.834717,10.595779,-2.662125
0.934738,12.111114,-2.552765
0.304077,12.423264,-2.133652
-0.860611,11.58606,-1.428787
-1.93927,10.234512,-0.586456
-2.411224,9.055084,-0.008163
-2.194031,8.361481,-0.077301
-1.326874,8.14267,-0.750565
-0.414108,8.168289,-1.386017
0.215317,8.454102,-1.717773
0.641968,8.739197,-1.941284
0.768036,8.764847,-2.120224
0.58252,8.577881,-2.140762
0.471237,8.251862,-1.924591
0.589691,8.002411,-1.525131
0.792526,8.121948,-0.836319
0.970871,8.577408,-0.338135
