frame,acc x,acc y,acc z
813,0.795146,9.944121,-1.611848
814,0.821492,9.898616,-1.597478
815,0.799937,9.927356,-1.712439
816,0.828677,10.092612,-1.357976
817,0.792751,10.152488,-1.369951
818,0.785566,10.073452,-1.379531
819,0.799937,10.039922,-1.262175
820,0.725691,10.035132,-1.22625
821,0.608335,10.047107,-1.23104
822,0.529299,10.018367,-1.276545
823,0.426313,10.023157,-1.319656
824,0.352068,10.193203,-1.324446
825,0.170046,10.202783,-1.324446
826,0.098196,10.245894,-1.257385
827,0.098196,10.197993,-1.372346
828,0.031135,10.197993,-1.365161
829,0.225132,10.020762,-1.482517
830,0.287402,9.939331,-1.437012
831,0.287402,9.939331,-1.437012
832,0.186812,9.924961,-1.528022
833,-0.011975,10.039922,-1.554368
834,-0.203577,10.152488,-1.530417
835,-0.443079,10.073452,-1.420247
836,-0.443079,10.073452,-1.420247
837,-0.416733,10.044712,-1.434617
838,-0.342488,9.994417,-1.437012
839,-0.241897,9.934541,-1.640588
840,-0.234712,9.884246,-1.638193
841,-0.174836,9.774075,-1.619033
842,-0.129331,9.86269,-1.669329
843,0.100591,9.972861,-1.604663
844,0.160466,10.061477,-1.631008
845,0.0479,9.982441,-1.559158
846,-0.079036,9.912986,-1.647773
847,-0.177231,9.920171,-1.628613
848,-0.258662,9.929751,-1.468147
849,-0.337698,9.980046,-1.396296
850,-0.416733,9.884246,-1.468147
851,-0.359253,9.759705,-1.602268
852,-0.306563,9.675879,-1.750759
853,-0.129331,9.77168,-1.78908
854,-0.007185,9.972861,-1.683699
855,-0.00479,10.078242,-1.604663
856,0.011975,10.032737,-1.537603
857,-0.04311,9.989626,-1.664539
858,-0.002395,9.929751,-1.87051
859,0.131726,9.929751,-1.83219
860,0.184417,9.951306,-1.755549
861,0.205972,9.81958,-1.750759
862,0.107776,9.730964,-1.829795
863,0.110171,9.656719,-1.820215
864,0.138911,9.680669,-1.896855
865,0.268242,9.695039,-1.918411
866,0.414338,9.860295,-2.009421
867,0.56762,9.821975,-1.87051
868,0.661025,9.836345,-1.848955
869,0.66821,10.006392,-1.868115
870,0.55804,10.164463,-1.657354
871,0.306563,10.322534,-1.544788
872,0.064666,10.212363,-1.544788
873,0.0,10.121353,-1.82261
874,0.050295,10.229128,-1.913621
875,0.167651,10.339299,-1.949546
876,0.244292,10.300979,-1.681304
877,0.270637,10.329719,-1.657354
878,0.249082,10.447075,-1.722019
879,0.213157,10.607542,-1.84177
880,0.376018,10.523716,-2.093247
881,0.512534,10.399175,-2.392625
882,0.5772,10.466235,-2.48603
883,0.443079,10.593171,-2.289639
884,0.308958,10.801538,-2.320774
885,0.076641,10.741663,-2.239343
886,-0.129331,10.621912,-2.191443
887,-0.162861,10.715317,-2.038162
888,-0.160466,10.808723,-1.85135
889,-0.239502,10.686577,-1.705254
890,-0.299377,10.389595,-1.604663
891,-0.380808,10.193203,-1.542393
892,-0.514929,10.356064,-1.458567
893,-0.919687,11.057805,-1.386716
894,-1.571133,12.308005,-1.23583
895,-2.155518,11.706855,-1.429827
896,-1.908831,11.860137,-2.708767
897,-1.425037,11.69967,-2.406995
898,-0.651445,11.61824,-1.690884
899,0.074246,11.536809,-1.286125
900,0.598755,11.493699,-0.907712
901,1.056204,11.441008,-0.63468
902,1.487307,11.218271,-0.519719
903,1.959126,11.048225,-0.265847
904,2.282454,11.062595,-0.05269
905,2.43813,11.165581,0.074246
906,2.44292,11.120076,0.143701
907,2.42855,10.952424,0.191602
908,2.232158,10.717712,0.222737
909,1.939966,10.437495,-0.00958
910,1.393901,10.339299,-0.222737
911,0.922083,10.504556,-0.447869
912,0.471819,10.585986,-0.881367
913,0.088616,10.559641,-1.314866
914,-0.105381,10.619517,-1.575923
915,-0.229922,10.909314,-1.86093
916,-0.227527,11.256592,-1.987866
917,-0.124541,11.66135,-1.980681
918,0.069456,11.805051,-1.978286
919,0.64426,11.793076,-2.224973
920,1.26936,11.862532,-2.282454
921,1.310076,11.888877,-1.923201
922,1.18793,12.008628,-1.554368
923,0.905317,12.082874,-0.622705
924,0.905317,12.082874,-0.622705
925,1.056204,11.917617,-0.603545
926,1.26936,11.548784,-0.62031
927,1.331631,11.105706,-0.58678
928,1.78429,10.514136,-0.694556
929,2.069297,9.941726,-0.670605
930,2.569856,9.172925,-0.816702
931,3.09197,8.52627,-0.919687
932,3.398533,8.123906,-0.855022
933,3.781736,7.764653,-1.003513
934,3.834426,7.649692,-1.128054
935,3.769761,7.355105,-0.977168
936,3.769761,7.355105,-0.977168
937,3.293152,7.266489,-0.720901
938,2.548301,7.110813,-0.376018
939,2.004631,6.991062,-0.071851
940,1.444197,6.909631,0.323328
941,1.104104,7.005432,0.66821
942,0.977168,7.163503,0.993933
943,0.814307,7.446116,1.369951
944,0.593965,7.788604,1.942361
945,0.443079,8.040081,2.344724
946,0.253872,8.202942,2.557881
947,0.102986,8.202942,2.593806
948,0.031135,8.092771,2.483635
949,-0.02395,8.00655,2.356699
950,-0.03353,7.95386,2.371069
951,0.007185,8.008945,2.390229
952,0.126936,8.246052,2.296824
953,0.239502,8.686736,2.450105
954,0.117356,9.20406,2.857258
955,-0.00958,9.726174,3.324287
956,-0.079036,10.202783,3.800896
957,0.007185,10.734478,4.25116
958,0.431104,11.407478,4.473896
959,1.020278,12.128379,4.430786
960,1.568738,12.676838,4.363726
961,2.098037,13.024116,4.406836
962,2.545906,13.060042,4.392466
963,3.257227,12.645703,4.150569
964,3.791316,11.69967,3.788921
965,3.968547,10.346484,3.1255
966,4.325405,9.419612,2.548301
967,4.629573,9.84353,1.633403
968,4.488267,10.760823,0.282612
969,4.028423,11.69488,0.922083
970,3.123105,12.595408,2.021396
971,2.301614,13.321099,0.883762
972,1.80824,14.149775,1.247805
973,1.391506,14.401252,3.987708
974,1.360371,12.870835,5.087021
975,1.314866,9.536968,2.962639
976,1.022673,5.522915,-0.922083
977,0.790356,2.699187,-3.954177
978,0.65863,2.174678,-4.802014
979,-0.076641,3.633245,-3.990103
980,-1.18793,6.974297,-2.308799
981,-1.616638,10.595566,-0.962798
982,-1.451382,13.124707,-0.435894
983,-1.27894,13.380974,-0.467029
984,-1.468147,11.706855,-1.494492
985,-1.549578,9.898616,-2.289639
986,-1.080154,8.954978,-2.131567
987,-0.155676,9.062754,-1.290916
988,0.632285,9.407637,-0.735271
989,1.039438,9.536968,-0.778381
990,1.247805,9.527388,-0.764011
991,1.049019,9.536968,-0.661025
992,0.692161,9.745334,-0.680186
993,0.340093,10.071057,-0.490979
994,-0.081431,10.322534,-0.335303
995,-0.237107,10.36804,-0.404758
996,-0.239502,10.418335,-0.380808
997,-0.213157,10.538086,-0.402363
998,-0.289797,10.535691,-0.510139
999,-0.440684,10.195598,-0.687371
1000,-0.608335,9.82437,-0.855022
1001,-0.775986,9.683064,-0.912502
1002,-0.881367,9.632769,-0.924478
1003,-0.929268,9.841135,-1.022673
1004,-0.910107,9.80521,-0.984353
1005,-0.761616,9.82437,-0.974773
1006,-0.761616,9.685459,-0.922083
1007,-0.835862,9.718989,-0.917292
1008,-0.931663,10.013577,-0.787961
1009,-0.862207,10.209968,-0.56762
1010,-0.58678,10.178833,-0.57241
1011,-0.138911,9.932146,-0.63468
1012,0.265847,9.745334,-0.816702
1013,0.608335,9.845925,-0.859812
1014,0.823887,10.095007,-0.768801
1015,0.814307,10.312954,-0.673
1016,0.780776,10.370435,-0.866997
1017,0.814307,10.4351,-1.23104
1018,0.869392,10.327324,-1.516047
1019,0.847837,10.063872,-1.671724
1020,0.548459,10.279424,-1.710044
1021,-0.05269,10.760823,-1.628613
1022,-0.711321,11.232642,-1.357976
1023,-1.166375,11.335627,-1.724414
1024,-1.077759,11.484119,-2.229763
1025,-0.526904,11.591895,-2.402205
1026,0.119751,11.829001,-2.026187
1027,0.091011,11.958333,-1.233435
1028,-0.385598,11.867322,-0.517324
1029,-0.950823,11.730806,0.011975
1030,-0.993933,11.474539,0.249082
1031,-0.792751,11.237432,0.481399
1032,-0.66342,11.03625,0.708926
1033,-0.898132,11.400293,0.862207
1034,-1.523232,13.060042,1.446592
1035,-2.009421,14.209651,0.974773
1036,-2.009421,14.209651,0.974773
1037,-1.396296,13.349839,0.838257
1038,-0.498164,12.537927,1.21188
1039,0.198787,12.561877,2.167493
1040,0.328118,12.537927,2.268083
1041,0.296982,12.442126,2.143542
1042,0.349673,12.513977,2.356699
1043,0.431104,12.667258,2.004631
1044,0.285007,12.513977,0.807122
1045,0.0,12.015813,-1.398691
1046,-0.536484,11.59908,-2.859653
1047,-1.058599,11.488909,-3.65959
1048,-1.24541,11.747571,-3.556604
1049,-0.821492,12.073293,-3.041675
1050,-0.318538,12.415781,-2.668052
1051,0.785566,12.449312,-2.598596
1052,2.114802,12.521162,-1.83219
1053,2.205813,12.30561,-1.120869
1054,1.913621,11.596685,-1.422642
1055,1.621428,11.05541,-1.640588
1056,1.336421,10.753638,-1.906436
1057,1.293311,10.310559,-2.359094
1058,1.22146,9.714199,-2.349514
1059,1.532813,8.801697,-2.124382
1060,1.81303,7.838899,-1.599873
1061,2.229763,7.022197,-1.252595
1062,2.744692,6.394702,-1.005908
1063,3.113525,5.999524,-1.22625
1064,3.444038,5.618716,-1.556763
1065,3.415298,5.400769,-1.848955
1066,3.161426,5.348079,-1.662144
1067,2.818938,5.360054,-1.504072
1068,2.4046,5.434299,-1.276545
1069,2.054927,5.700146,-1.017883
1070,1.729204,5.949229,-0.63468
1071,1.24541,6.284531,-0.198787
1072,0.838257,6.667734,0.392783
1073,0.383203,7.144343,1.022673
1074,-0.04311,7.719148,2.021396
1075,-0.462239,8.377778,2.778223
1076,-0.725691,8.986113,3.398533
1077,-0.876577,9.453142,3.67875
1078,-0.749641,9.79563,3.851191
1079,-0.519719,10.114167,3.985313
1080,-0.296982,10.320139,4.31822
1081,-0.268242,10.45905,4.507427
1082,-0.177231,10.768008,4.787644
1083,0.02395,11.510464,5.465435
1084,0.337698,12.787009,6.665339
1085,0.790356,14.485078,7.604187
1086,0.936453,15.732883,7.453301
1087,1.084944,15.435901,5.851033
1088,1.777104,13.728252,4.093088
1089,2.816543,10.835068,2.569856
1090,3.69791,8.380173,1.262175
1091,4.974456,7.38145,0.167651
1092,5.975574,8.58375,-1.163979
1093,5.889353,9.618398,-2.783013
1094,4.91458,11.239827,0.076641
1095,2.792593,12.923525,2.241738
1096,0.299377,13.895903,2.198628
1097,-1.676514,15.062278,3.896697
1098,-1.446592,14.928157,3.798501
1099,-0.402363,12.159514,2.545906
1100,0.064666,7.764653,-0.146096
1101,0.435894,4.574487,-3.750601
1102,0.016765,3.209326,-5.575605
1103,-0.694556,3.520679,-5.846243
1104,-1.082549,5.831873,-3.796106
1105,-1.393901,8.950188,-1.369951
1106,-1.348396,11.280542,-1.046624
1107,-0.974773,12.29124,-1.329236
1108,-0.481399,11.838582,-1.858535
1109,-0.067061,10.693762,-2.229763
1110,0.507744,9.644744,-2.047742
1111,0.958008,9.211245,-1.312471
1112,1.417852,9.1849,-0.802332
1113,1.348396,9.323811,-0.438289
1114,0.960403,9.457932,-0.268242
1115,0.239502,9.687854,-0.234712
1116,-0.450264,9.984836,-0.450264
1117,-1.113684,10.212363,-0.680186
1118,-1.511257,10.327324,-0.866997
1119,-1.561553,10.518926,-0.646655
1120,-1.350791,10.617122,-0.356858
1121,-0.977168,10.370435,-0.306563
1122,-0.651445,10.154883,-0.56283
1123,-0.402363,10.011182,-0.888552
1124,-0.263452,10.104587,-0.998723
1125,-0.229922,10.123748,-1.003513
1126,-0.244292,9.987231,-1.149609
1127,-0.222737,9.78605,-1.544788
1128,-0.328118,9.522598,-1.844165
1129,-0.232317,9.510623,-2.069297
1130,0.067061,9.563313,-2.133962
1131,0.570015,9.477092,-2.083667
1132,0.919687,9.460327,-1.86572
1133,1.262175,9.556128,-1.738784
1134,1.475332,9.572893,-1.425037
1135,1.621428,9.505833,-1.247805
1136,1.662144,9.534573,-1.295706
1137,1.80824,10.162068,-1.161584
1138,1.525627,10.648257,-0.58678
1139,1.008303,10.722502,-0.536484
1140,0.63947,11.06978,-1.020278
1141,0.191602,11.546389,-1.080154
1142,-0.404758,11.682905,-0.823887
1143,-1.113684,11.338022,-1.116079
1144,-1.642983,10.954819,-1.858535
1145,-1.561553,10.693762,-2.198628
1146,-0.991538,10.787168,-2.234553
1147,-0.958008,11.120076,-1.84656
1148,-1.451382,11.215876,-1.547183
1149,-1.736389,11.115286,-1.125659
1150,-1.621428,11.00751,-0.58678
1151,-1.398691,11.019485,-0.205972
1152,-1.597478,12.207415,0.045505
1153,-1.927991,14.262341,0.677791
1154,-2.440525,14.504238,0.965193
1155,-2.325564,13.780942,0.452659
1156,-1.360371,13.49833,1.065784
1157,-0.04311,13.481565,2.203418
1158,0.888552,13.246853,2.483635
1159,1.405876,12.684023,2.4525
1160,1.633403,12.183464,1.748364
1161,1.810635,11.639795,1.451382
1162,1.666934,11.345208,0.953218
1163,1.195115,11.340417,0.354463
1164,0.58199,11.177556,-0.6251
1165,-0.00479,10.973979,-1.774709
1166,-0.332908,11.06978,-2.217788
1167,-0.617915,11.548784,-2.107617
1168,-0.62989,12.087664,-2.078877
1169,-0.304167,12.27687,-2.033372
1170,0.182021,12.216995,-1.947151
1171,0.778381,12.317585,-1.810635
1172,1.27415,12.451707,-1.89446
1173,1.693279,12.482842,-1.939966
1174,1.741179,12.329561,-1.89925
1175,1.317261,11.934382,-1.853745
1176,1.290916,11.572734,-2.002236
1177,1.650168,11.043435,-1.901646
1178,2.014211,10.578801,-1.731599
1179,2.335144,9.850715,-1.717229
1180,2.368674,9.304651,-1.585503
1181,2.42855,8.56938,-1.659749
1182,2.543511,7.984995,-1.659749
1183,2.845283,7.364685,-1.872905
1184,3.166216,6.864126,-2.129172
1185,3.448828,6.574329,-2.40939
1186,3.633245,6.306086,-2.356699
1187,3.379373,6.138435,-2.167493
1188,2.783013,5.956414,-1.786685
1189,2.023792,5.853428,-1.599873
1190,1.496887,5.920488,-1.405876
1191,1.175955,6.16478,-1.116079
1192,1.087339,6.454578,-0.641865
1193,1.034648,6.792275,-0.143701
1194,0.893342,7.165898,0.488584
1195,0.60594,7.484436,1.053809
1196,0.229922,7.757468,1.547183
1197,0.02395,7.884404,1.748364
1198,-0.055085,7.848479,2.086062
1199,0.162861,7.886799,2.45729
1200,0.213157,8.195757,3.084785
1201,0.03353,8.842412,3.911067
1202,-0.179626,9.695039,5.053491
1203,-0.471819,10.847043,6.562354
1204,-0.59157,12.525952,8.933423
1205,-0.263452,15.136523,11.400293
1206,0.138911,17.684824,11.383528
1207,0.186812,18.570981,9.115444
1208,0.088616,16.827407,6.418652
1209,1.566343,13.062437,3.808081
1210,2.936294,9.486672,1.580713
1211,4.392466,6.950347,0.01437
1212,6.212681,6.983877,-1.029858
1213,7.096443,7.587422,-3.520679
1214,6.787485,9.029224,-1.381926
1215,4.773274,11.294912,1.904041
1216,1.446592,12.86844,1.571133
1217,-1.669329,15.275435,3.465593
1218,-2.658472,17.304016,4.449946
