frame,acc x,acc y,acc z
862,0.993933,10.037527,-1.511257
863,1.005908,10.085427,-1.468147
864,1.025068,10.061477,-1.417852
865,1.010698,10.083032,-1.365161
866,0.998723,10.066267,-1.451382
867,1.046624,10.114167,-1.432222
868,1.116079,10.092612,-1.353186
869,1.104104,10.056687,-1.331631
870,1.056204,9.999207,-1.307681
871,1.22146,10.054292,-1.219065
872,1.302891,10.056687,-1.089734
873,1.317261,10.138118,-0.823887
874,1.334026,10.274634,-0.58199
875,1.372346,10.506951,-0.268242
876,1.504072,10.684182,0.067061
877,1.566343,10.863809,0.249082
878,1.635798,11.076965,0.519719
879,1.623823,11.292517,0.809517
880,1.647773,11.431428,0.862207
881,1.638193,11.606265,0.965193
882,1.688489,11.876902,1.135239
883,1.939966,12.159514,1.298101
884,1.913621,12.434941,1.678909
885,1.786685,12.760664,2.040557
886,1.530417,13.100757,2.315984
887,1.25978,13.167817,2.117197
888,1.281335,12.992981,2.081272
889,1.571133,12.547507,1.78429
890,2.066902,12.034973,1.044229
891,2.304009,11.421848,0.225132
892,2.459685,10.849438,0.00479
893,2.811753,10.370435,-0.158071
894,3.218906,10.020762,-0.435894
895,3.65001,9.625583,-0.541274
896,4.054768,9.285491,-0.60594
897,4.2799,8.902288,-0.694556
898,4.208049,8.878337,-0.323328
899,3.774551,9.098679,0.107776
900,3.211721,9.333391,0.273032
901,2.624941,9.474697,0.325723
902,2.296824,9.297466,0.55804
903,1.937571,9.053174,0.716111
904,1.623823,8.60291,0.977168
905,1.568738,8.131091,1.013093
906,1.592688,7.735913,1.099314
907,1.796265,7.549102,1.341211
908,1.983076,7.40061,1.496887
909,2.275269,7.441326,1.628613
910,2.531536,7.41498,1.83698
911,2.651287,7.460486,2.059717
912,2.672842,7.537126,2.153123
913,2.730322,7.676038,2.612966
914,2.754272,7.788604,2.754272
915,2.634521,7.759863,2.826123
916,2.46208,7.541917,2.986589
917,2.514771,7.496411,3.178191
918,2.521956,7.273674,3.163821
919,2.5004,7.074888,2.620151
920,2.325564,6.801855,2.359094
921,2.095642,6.662944,2.356699
922,1.834585,6.842571,2.632126
923,1.566343,7.41019,2.948269
924,1.590293,8.377778,3.386558
925,1.726809,9.419612,4.191284
926,1.978286,10.221943,4.766089
927,2.620151,10.849438,5.649851
928,3.602109,11.105706,6.830596
929,4.25595,10.626702,7.194639
